cityname,i_o_length,prediction_horizon,grid_size,time_stamp,IC_temp
london,4,1,55,8690,2023.0
london,4,1,55,2322,13546.0
london,4,1,55,1344,0
london,4,1,55,457,0
london,4,1,55,4165,0
london,4,1,55,2852,88230.0
london,4,1,55,8076,0
london,4,1,55,8359,4426.0
london,4,1,55,4844,0
london,4,1,55,8772,0
london,4,1,55,3187,1830.0
london,4,1,55,5946,3036.0
london,4,1,55,6628,7980.0
london,4,1,55,3659,0
london,4,1,55,5898,0
london,4,1,55,5453,0
london,4,1,55,8385,11583.0
london,4,1,55,6428,0
london,4,1,55,6175,0
london,4,1,55,7974,24318.0
london,4,1,55,5027,5396.0
london,4,1,55,5759,0
london,4,1,55,4774,0
london,4,1,55,8083,0
london,4,1,55,5964,0
london,4,1,55,7408,31787.0
london,4,1,55,2595,0
london,4,1,55,346,3192.0
london,4,1,55,6138,1257.0
london,4,1,55,2248,0
london,4,1,55,4231,0
london,4,1,55,8532,0
london,4,1,55,3478,0
london,4,1,55,1510,0
london,4,1,55,5589,0
london,4,1,55,4678,3645.0
london,4,1,55,67,4053.0
london,4,1,55,4296,3159.0
london,4,1,55,8128,0
london,4,1,55,7227,0
london,4,1,55,8776,0
london,4,1,55,2486,0
london,4,1,55,5747,0
london,4,1,55,7132,0
london,4,1,55,5468,0
london,4,1,55,7667,29617.0
london,4,1,55,3268,1736.0
london,4,1,55,9027,0
london,4,1,55,787,30884.0
london,4,1,55,8273,11676.0
london,4,1,55,4937,40395.0
london,4,1,55,6868,8054.0
london,4,1,55,5097,23445.0
london,4,1,55,5349,7188.0
london,4,1,55,5527,0
london,4,1,55,2855,0
london,4,1,55,1664,0
london,4,1,55,1441,6676.0
london,4,1,55,8192,0
london,4,1,55,7461,0
london,4,1,55,3762,0
london,4,1,55,8059,0
london,4,1,55,737,0
london,4,1,55,1166,0
london,4,1,55,5036,0
london,4,1,55,3349,0
london,4,1,55,4832,8969.0
london,4,1,55,4212,2091.0
london,4,1,55,4992,0
london,4,1,55,190,0
london,4,1,55,8430,4024.0
london,4,1,55,6879,6212.0
london,4,1,55,660,0
london,4,1,55,2129,0
london,4,1,55,6131,0
london,4,1,55,8877,0
london,4,1,55,3251,2396.0
london,4,1,55,5661,0
london,4,1,55,7585,0
london,4,1,55,6075,0
london,4,1,55,604,0
london,4,1,55,8161,0
london,4,1,55,5697,18590.0
london,4,1,55,410,0
london,4,1,55,7594,0
london,4,1,55,4632,0
london,4,1,55,7409,43470.25
london,4,1,55,8398,0
london,4,1,55,8071,0
london,4,1,55,8090,963.0
london,4,1,55,1717,2163.0
london,4,1,55,6534,0
london,4,1,55,102,0
london,4,1,55,3159,17109.0
london,4,1,55,4222,2901.0
london,4,1,55,7861,0
london,4,1,55,7165,0
london,4,1,55,109,0
london,4,1,55,1892,5044.0
london,4,1,55,5222,23706.0
london,4,1,55,5524,0
london,4,1,55,4319,0
london,4,1,55,3488,0
london,4,1,55,6807,0
london,4,1,55,7385,0
london,4,1,55,7968,46496.0
london,4,1,55,5462,3703.0
london,4,1,55,3298,0
london,4,1,55,845,91231.0
london,4,1,55,1085,86475.0
london,4,1,55,7178,36585.0
london,4,1,55,2502,112424.0
london,4,1,55,6456,0
london,4,1,55,6042,0
london,4,1,55,9001,0
london,4,1,55,1576,0
london,4,1,55,375,0
london,4,1,55,766,90554.0
london,4,1,55,6631,2659.0
london,4,1,55,4159,0
london,4,1,55,1036,0
london,4,1,55,5988,0
london,4,1,55,7869,3784.0
london,4,1,55,336,1553.0
london,4,1,55,5916,0
london,4,1,55,7541,6076.0
london,4,1,55,6996,0
london,4,1,55,5484,0
london,4,1,55,1380,7176.0
london,4,1,55,7554,0
london,4,1,55,2218,0
london,4,1,55,4074,11668.0
london,4,1,55,8881,0
london,4,1,55,4823,3111.0
london,4,1,55,1001,0
london,4,1,55,4877,0
london,4,1,55,3640,0
london,4,1,55,1335,2569.0
london,4,1,55,3847,7766.0
london,4,1,55,8730,0
london,4,1,55,486,0
london,4,1,55,4816,0
london,4,1,55,3598,0
london,4,1,55,52,8323.0
london,4,1,55,8369,0
london,4,1,55,614,27889.0
london,4,1,55,2046,0
london,4,1,55,2140,12207.0
london,4,1,55,6632,0
london,4,1,55,3672,10818.0
london,4,1,55,3942,0
london,4,1,55,2184,7246.0
london,4,1,55,3363,1276.0
london,4,1,55,5044,0
london,4,1,55,4124,30303.0
london,4,1,55,1041,107448.0
london,4,1,55,1588,65790.0
london,4,1,55,4357,0
london,4,1,55,2431,0
london,4,1,55,667,9675.0
london,4,1,55,443,0
london,4,1,55,2261,4707.0
london,4,1,55,8330,0
london,4,1,55,8115,0
london,4,1,55,5837,0
london,4,1,55,8804,0
