cityname,i_o_length,prediction_horizon,grid_size,time_stamp,MSE_train
london,4,1,55,5325,82.01451104314717
london,4,1,55,4997,183.89966031768506
london,4,1,55,3001,1023.6917665063461
london,4,1,55,1099,761.2815441698464
london,4,1,55,4288,1193.7857672785235
london,4,1,55,5459,746.0539221420674
london,4,1,55,4403,1674.288851711646
london,4,1,55,4966,1021.0119422993633
london,4,1,55,8810,1243.5609771775025
london,4,1,55,7064,200.0839615750167
london,4,1,55,1029,964.0711416032163
london,4,1,55,2625,781.4855108509369
london,4,1,55,9409,861.2734607457979
london,4,1,55,6765,737.9227424331698
london,4,1,55,6529,735.5684118637432
london,4,1,55,4943,1149.5964001531927
london,4,1,55,8570,1072.6674011202172
london,4,1,55,1228,2424.9110250010426
london,4,1,55,7611,749.2288705965954
london,4,1,55,5681,327.10081494419387
london,4,1,55,1077,708.6709226120067
london,4,1,55,1813,140.1259894922791
london,4,1,55,2167,1264.8480096470023
london,4,1,55,4796,1119.6283874304438
london,4,1,55,4823,127.47018003535861
london,4,1,55,7938,1597.171161916673
london,4,1,55,7937,2082.028772142364
london,4,1,55,5526,3365.7750715564407
london,4,1,55,9265,1069.6930815192188
london,4,1,55,1421,706.2540342912349
london,4,1,55,8760,1005.2019037835794
london,4,1,55,2935,262.85126902646397
london,4,1,55,1088,803.6357457185453
london,4,1,55,5204,855.9462629096321
london,4,1,55,4106,1123.7060571746993
london,4,1,55,9058,1186.8565593751373
london,4,1,55,1548,783.6504445525223
london,4,1,55,7098,925.8485784817844
london,4,1,55,4165,1125.2980476788027
london,4,1,55,9436,816.2092106473261
london,4,1,55,4017,2318.107687683765
london,4,1,55,7841,629.3660781299199
london,4,1,55,9408,796.6274719776961
london,4,1,55,3229,682.8512327265262
london,4,1,55,5491,1101.6129213052764
london,4,1,55,2737,171.37437312848053
london,4,1,55,6435,736.9073386124928
london,4,1,55,2219,1166.6376298762696
london,4,1,55,3017,111.89249354635244
london,4,1,55,696,180.44046669751137
london,4,1,55,4653,405.62187179212833
london,4,1,55,1851,541.8097255757185
london,4,1,55,3713,693.9788217951346
london,4,1,55,3396,705.2168724814104
london,4,1,55,8192,4085.112217926952
london,4,1,55,9031,269.81206071267053
london,4,1,55,7294,1036.8954591350885
london,4,1,55,5193,786.9122813446753
london,4,1,55,1142,787.1989412702407
london,4,1,55,7601,717.9525423430565
london,4,1,55,2810,941.1572384294913
london,4,1,55,7671,312.90117616419263
london,4,1,55,7660,373.7369061612592
london,4,1,55,6171,759.9398172101317
london,4,1,55,71,128.54457971070477
london,4,1,55,8118,186.3851338025472
london,4,1,55,8017,3494.566077910056
london,4,1,55,4183,940.7818711948948
london,4,1,55,9427,1141.032999475063
london,4,1,55,8477,761.3451331099744
london,4,1,55,7873,623.0832942167309
london,4,1,55,8959,211.37454076708602
london,4,1,55,5752,887.8833625557572
london,4,1,55,4931,937.2109903836318
london,4,1,55,4399,385.8514932013019
london,4,1,55,8376,1711.462811550135
london,4,1,55,186,1861.2435255327175
london,4,1,55,3205,3230.9735005633174
london,4,1,55,6393,481.9882230653435
london,4,1,55,3345,1016.6955308389118
london,4,1,55,6136,639.2271128925153
london,4,1,55,1178,858.8856880048844
london,4,1,55,6689,726.9663303310583
london,4,1,55,5935,870.4730710664213
london,4,1,55,7736,854.7902249853753
london,4,1,55,2182,686.4658236253521
london,4,1,55,3230,780.4301484276394
london,4,1,55,5025,909.3758074605254
london,4,1,55,1418,650.4669706662999
london,4,1,55,8553,1066.616491818929
london,4,1,55,3692,860.8592289576454
london,4,1,55,7037,937.0159421560145
london,4,1,55,17,348.38078214967936
london,4,1,55,3919,694.5356919649513
london,4,1,55,977,949.4881554317801
london,4,1,55,3670,977.9467462614851
london,4,1,55,8802,796.6645348384142
london,4,1,55,5595,229.43539120378176
london,4,1,55,8446,2680.734419689948
london,4,1,55,1035,318.15928461731164
london,4,1,55,515,833.9683512749389
london,4,1,55,9399,1998.7005210173847
london,4,1,55,3050,936.6369399528235
london,4,1,55,3427,1038.9894000123588
london,4,1,55,6683,877.1433282127336
london,4,1,55,3544,370.21551336313814
london,4,1,55,716,728.6757926007278
london,4,1,55,7383,1179.5118496697237
london,4,1,55,4203,900.2517704855634
london,4,1,55,8722,745.5834521803529
london,4,1,55,1531,1048.4763603351703
london,4,1,55,4410,2623.468054453073
london,4,1,55,8155,127.85548404807821
london,4,1,55,1210,148.07577884386703
london,4,1,55,6239,827.0562128356917
london,4,1,55,2797,796.4641587870934
london,4,1,55,4078,1314.9087628993927
london,4,1,55,2336,276.90356815438435
london,4,1,55,4220,150.7590194465508
london,4,1,55,246,1093.7025601013922
london,4,1,55,5389,230.65292751112253
london,4,1,55,706,3209.327935354221
london,4,1,55,2127,1007.6419503161794
london,4,1,55,674,1016.0627936384918
london,4,1,55,1331,927.3684962995517
london,4,1,55,1219,546.5167783974626
london,4,1,55,6816,481.33884035341293
london,4,1,55,660,1147.6231713335592
london,4,1,55,2411,141.68437011781938
london,4,1,55,9225,3416.2024927222565
london,4,1,55,6509,849.9034052576882
london,4,1,55,2986,1159.0508927342432
london,4,1,55,4583,1854.8278284628384
london,4,1,55,4224,175.26979911363952
london,4,1,55,5223,1007.3006276747193
london,4,1,55,7964,9240.690385406717
london,4,1,55,6270,772.4488068976691
london,4,1,55,4651,512.4941389655332
london,4,1,55,2902,1045.028812281938
london,4,1,55,8173,494.7201760663509
london,4,1,55,302,500.68049996894695
london,4,1,55,3101,133.4364514946392
london,4,1,55,5896,935.0012948176529
london,4,1,55,1477,515.3176697696472
london,4,1,55,1085,796.6195390355293
london,4,1,55,5907,772.8125814918614
london,4,1,55,4948,661.0127648772929
london,4,1,55,5668,988.0166819317485
london,4,1,55,3946,989.1156769266443
london,4,1,55,1850,679.8135917081116
london,4,1,55,6647,1231.1103118265712
london,4,1,55,3385,687.2944184662448
london,4,1,55,4530,1140.372624690528
london,4,1,55,591,850.8136014052723
london,4,1,55,8438,120.04734458874269
london,4,1,55,2987,980.7759812394976
london,4,1,55,9017,1114.1293664971943
london,4,1,55,8302,916.1312156801446
london,4,1,55,3322,1235.3371534863936
london,4,1,55,881,1700.9021132363803
london,4,1,55,5448,882.9111601129924
london,4,1,55,2037,1031.669658918128
london,4,1,55,2685,926.8920206699753
london,4,1,55,7735,920.7038326272863
london,4,1,55,6475,795.9745033009137
london,4,1,55,1817,155.33488645113542
london,4,1,55,8915,799.1932496291221
london,4,1,55,1987,196.81966275588331
london,4,1,55,4681,1332.2480745169178
london,4,1,55,6911,622.7894709152879
london,4,1,55,5226,1110.906222035879
london,4,1,55,9041,197.10139980940468
london,4,1,55,8400,1108.979477315246
london,4,1,55,6747,731.0429560098399
london,4,1,55,5428,142.19532159810527
london,4,1,55,6497,791.577563280357
london,4,1,55,2311,880.4233323573727
london,4,1,55,9293,152.71375900012814
london,4,1,55,702,1851.3805093334213
london,4,1,55,49,86.65937833602887
london,4,1,55,6574,1103.5414464952887
london,4,1,55,8484,1240.086426412807
london,4,1,55,2924,1038.1969264302977
london,4,1,55,9053,3450.3919160716173
london,4,1,55,2098,806.527721535295
london,4,1,55,6293,163.6725236484677
london,4,1,55,1404,882.1356358785806
london,4,1,55,8284,1641.9037687339057
london,4,1,55,6779,1179.3920378690298
london,4,1,55,1306,1089.15169863705
london,4,1,55,7021,903.3518702646351
london,4,1,55,13,30.242871487720976
london,4,1,55,1165,853.1370791831721
london,4,1,55,4267,989.7712601883716
london,4,1,55,4018,2708.488138690182
london,4,1,55,3745,707.877417235911
london,4,1,55,4279,1031.492946667247
london,4,1,55,2671,16.56103577072295
london,4,1,55,7761,492.5326466824286
london,4,1,55,5234,823.7955173255284
london,4,1,55,6379,317.75613475462313
london,4,1,55,8021,3360.3213707343734
london,4,1,55,8975,1850.7766656066751
london,4,1,55,7839,239.94486180546818
london,4,1,55,3432,1174.1525577424704
london,4,1,55,1516,1021.5244115849566
london,4,1,55,1248,683.6075745648577
london,4,1,55,5565,978.7549171098251
london,4,1,55,8510,823.5800735172395
london,4,1,55,338,934.829417307989
london,4,1,55,7447,866.7648489883513
london,4,1,55,8503,1388.6007765737086
london,4,1,55,4265,830.793495719048
london,4,1,55,4915,288.06344075955434
london,4,1,55,8680,835.2136235845364
london,4,1,55,2934,293.3583889506091
london,4,1,55,3635,3063.0535206463546
london,4,1,55,4942,1124.8312496804854
london,4,1,55,7188,752.1943262663536
london,4,1,55,142,1320.5826188016483
london,4,1,55,6947,676.0720558247448
london,4,1,55,7673,543.8121872314763
london,4,1,55,3076,1128.0593131343412
london,4,1,55,9303,547.985862046437
london,4,1,55,4194,934.6508666414305
london,4,1,55,7203,883.5112096267608
london,4,1,55,5249,43.42854179331624
london,4,1,55,5673,926.4480516699658
london,4,1,55,1426,646.5289462972507
london,4,1,55,1525,960.3068449920369
london,4,1,55,6185,801.5263355917259
london,4,1,55,603,195.6523350694032
london,4,1,55,7662,313.3752440843071
london,4,1,55,1526,942.6399234847264
london,4,1,55,5713,899.2655185530873
london,4,1,55,7255,885.2064490729023
london,4,1,55,9159,826.5210224817248
london,4,1,55,27,99.7559910315999
london,4,1,55,6961,677.0242986145043
london,4,1,55,6394,506.8567103362248
london,4,1,55,6550,359.9052717202488
london,4,1,55,7464,839.7680942732399
london,4,1,55,5122,813.1804378670623
london,4,1,55,2564,1037.4329516540333
london,4,1,55,1739,362.65393316317534
london,4,1,55,3591,1167.3866887069669
london,4,1,55,5106,937.8684846502871
london,4,1,55,6101,914.4631731068174
london,4,1,55,3712,412.4914920535819
london,4,1,55,1277,19112.544769603053
london,4,1,55,7879,920.398687716447
london,4,1,55,8278,1128.0192612304004
london,4,1,55,2965,1325.0693087245515
london,4,1,55,4607,826.9444958118183
london,4,1,55,1925,869.7553304026811
london,4,1,55,6311,614.7016191956137
london,4,1,55,6456,367.49081112251434
london,4,1,55,6318,1139.6196151205966
london,4,1,55,7833,130.80252135454035
london,4,1,55,6122,500.00746492974696
london,4,1,55,8874,337.677055955815
london,4,1,55,4852,797.8203989614891
london,4,1,55,5850,912.4294352194005
london,4,1,55,1223,3274.0640487538844
london,4,1,55,8137,198.6471985524846
london,4,1,55,407,1152.905087559871
london,4,1,55,2179,703.41122168157
london,4,1,55,8060,1014.1429208532506
london,4,1,55,8006,252.57767522608708
london,4,1,55,2777,2007.2758396725562
london,4,1,55,351,167.82734711572783
london,4,1,55,8880,1192.7505374317193
london,4,1,55,532,370.22448696904775
london,4,1,55,2742,172.0864210604401
london,4,1,55,4843,1349.7161790435387
london,4,1,55,4721,1024.6824040077545
london,4,1,55,4014,949.033955244567
london,4,1,55,7467,1036.0039193990192
london,4,1,55,512,970.3898162948257
london,4,1,55,5651,1118.209269252828
london,4,1,55,219,769.4774218270063
london,4,1,55,737,820.4637859480727
london,4,1,55,2397,631.0664314179763
