epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9345,33.60801894749761,3.0809770528998457,-1,0,9345,1897.783294630079,1086.2137506688068,2621.9619140625,1132.1905164960779,3352.3314981492754,8679.736328125,1168.956787109375,3889.80712890625
1,-1,9999,9345,309.98663591602093,71.31065445346523,-1,0,9345,1897.7832946300791,1086.2137506688068,1008.883056640625,1132.2890649144558,3351.7673997696006,3234.63916015625,906.4669799804688,2765.120849609375
2,-1,9999,9345,267.92065964914985,56.22609829360658,-1,0,9345,1897.7832946300791,1086.2137506688068,956.2608642578125,1130.777440875337,3354.3613792927677,3482.964111328125,771.4041748046875,2305.58447265625
3,-1,9999,9450,255.6361515722581,50.82056741072821,-1,0,9450,1631.6820271069114,917.8591798941799,729.7127685546875,872.8176287282193,2571.726698078842,2266.33203125,688.7222900390625,1999.71435546875
4,-1,9999,9450,220.19199009674088,41.91864171380089,-1,0,9450,1631.6820271069114,917.8591798941799,662.6270751953125,873.1769664280356,2569.078093688589,2011.13916015625,578.6907348632812,1658.98388671875
5,-1,9999,9450,170.44951105916525,29.287335000813954,-1,0,9450,1631.6820271069114,917.8591798941799,650.3980102539062,872.583136430556,2569.887423309838,1975.884765625,594.9275512695312,1821.7843017578125
6,-1,9999,9345,416.0108718113683,102.81899630183074,-1,0,9345,1897.7832946300791,1086.2137506688068,769.1309204101562,1134.0626246383429,3357.340049238598,2358.004150390625,764.1343994140625,2372.1552734375
7,-1,9999,9345,463.5479232661909,120.5868573630411,-1,0,9345,1897.783294630079,1086.2137506688068,744.741455078125,1134.4665459185937,3361.363716982176,2268.23046875,664.8567504882812,1950.6859130859375
8,-1,9999,9345,379.9755850194961,82.70699700971157,-1,0,9345,1897.783294630079,1086.2137506688068,744.689453125,1133.6165725865728,3352.753170178375,2318.24169921875,653.8021240234375,1962.2451171875
9,-1,9999,9450,271.513466794384,47.59406874729843,-1,0,9450,1631.6820271069114,917.8591798941799,593.7157592773438,872.4986454068227,2566.8288327106743,1778.9366455078125,588.1149291992188,1802.0108642578125
10,-1,9999,9450,275.34691992616354,49.26250031422528,-1,0,9450,1631.6820271069112,917.8591798941799,591.5339965820312,873.2943104651595,2567.5327288202984,1779.79541015625,608.4973754882812,1901.4669189453125
11,-1,9999,9450,489.578688555029,115.83217832911109,-1,0,9450,1631.6820271069114,917.8591798941799,571.5618286132812,872.411525734853,2572.1967879931076,1706.1519775390625,536.6534423828125,1566.0416259765625
12,-1,9999,9345,477.78761851672107,115.84225548488561,-1,0,9345,1897.7832946300791,1086.2137506688068,673.8497924804688,1132.7233459189758,3358.6263339789816,2054.14453125,650.2913818359375,1923.0216064453125
13,-1,9999,9345,516.7777273558729,128.67864286339477,-1,0,9345,1897.783294630079,1086.2137506688068,676.4771118164062,1130.7066209090467,3350.8968431634103,2063.43994140625,644.4911499023438,1944.632568359375
14,-1,9999,9345,545.3592322384228,143.15426996843644,-1,0,9345,1897.783294630079,1086.2137506688068,663.4236450195312,1132.8608010689304,3363.679248637827,2005.3365478515625,640.8840942382812,1873.1890869140625
15,-1,9999,9450,432.34221650880454,91.39764535353927,-1,0,9450,1631.6820271069114,917.8591798941799,547.51904296875,873.8594901890453,2571.514147408017,1622.810546875,552.2350463867188,1683.9827880859375
16,-1,9999,9450,480.5569476722212,107.37106297505596,-1,0,9450,1631.6820271069114,917.8591798941799,542.6316528320312,873.6260382527746,2573.025165987024,1617.4212646484375,598.2757568359375,1877.0673828125
17,-1,9999,9450,481.05398483157546,115.01070693194669,-1,0,9450,1631.6820271069114,917.8591798941799,526.4879150390625,874.4900468020612,2573.371754411109,1566.981689453125,571.3358154296875,1740.1246337890625
18,-1,9999,9345,464.2597744274665,104.06323956889446,-1,0,9345,1897.7832946300791,1086.2137506688068,630.8256225585938,1132.6177588261494,3359.4333078355203,1936.4049072265625,657.8177490234375,2006.678955078125
19,-1,9999,9345,565.7414341159165,147.40996263372574,-1,0,9345,1897.7832946300791,1086.2137506688068,621.271484375,1131.8328931207805,3350.484737103279,1894.0123291015625,661.244140625,2025.42529296875
20,-1,9999,9345,620.7660869363943,157.51630706358492,-1,0,9345,1897.7832946300791,1086.2137506688068,605.5936279296875,1133.6255389618768,3354.6428120025116,1814.4193115234375,695.6453857421875,2177.8330078125
21,-1,9999,9450,487.88593384499404,113.57457406453986,-1,0,9450,1631.6820271069114,917.8591798941799,515.5774536132812,872.685001716879,2571.4077900132443,1525.772216796875,537.6444702148438,1615.77978515625
22,-1,9999,9450,458.1043921364059,106.11497864175253,-1,0,9450,1631.6820271069114,917.8591798941799,520.4564819335938,872.8460616391178,2572.1316167689024,1555.484619140625,538.740478515625,1539.8739013671875
23,-1,9999,9450,484.6001948145231,112.25590749488227,-1,0,9450,1631.6820271069114,917.8591798941799,502.2725524902344,873.5108900674661,2569.6493123430796,1484.404052734375,558.6132202148438,1707.631103515625
24,-1,9999,9345,501.1143593494261,119.19716897137731,-1,0,9345,1897.7832946300791,1086.2137506688068,614.8184204101562,1134.4377999083788,3364.9120553613316,1877.47314453125,741.3233642578125,2372.434814453125
25,-1,9999,9345,559.80569971516,137.17545634002337,-1,0,9345,1897.783294630079,1086.2137506688068,581.69091796875,1132.633023980465,3354.994575503449,1753.410888671875,712.4092407226562,2247.175537109375
26,-1,9999,9345,444.39985420908926,95.80176189095022,-1,0,9345,1897.7832946300791,1086.2137506688068,572.1724243164062,1131.3599295472986,3351.0581896524914,1724.318359375,1071.358154296875,3647.380615234375
27,-1,9999,9450,447.8099453395082,102.63707503157318,-1,0,9450,1631.6820271069114,917.8591798941799,497.5186767578125,872.251199403992,2566.59842911993,1473.234619140625,575.0165405273438,1775.267333984375
28,-1,9999,9450,577.00111393105,146.18888819979375,-1,0,9450,1631.6820271069114,917.8591798941799,484.8258056640625,873.7706685303699,2576.7117540152562,1431.4356689453125,558.0565185546875,1687.2149658203125
29,-1,9999,9450,599.6772051375044,152.57128860080684,-1,0,9450,1631.6820271069114,917.8591798941799,483.5434875488281,873.4585963889559,2566.967231593214,1426.181884765625,540.2119750976562,1611.586181640625
