epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9030,1120.2928973032328,298.3847306718924,-1,0,9030,2727.9647103244247,1554.255980066445,585.780517578125,1166.2372050384893,3422.0649508419974,1733.7191162109375,890.9383544921875,2912.96142578125
1,-1,9999,9030,1305.661455665762,408.1769519738581,-1,0,9030,2727.964710324425,1554.255980066445,587.0735473632812,1162.0864940452466,3419.043249657171,1747.224609375,701.7316284179688,2139.836669921875
2,-1,9999,9030,989.6312247963222,255.5425005027292,-1,0,9030,2727.964710324425,1554.255980066445,586.5177612304688,1162.9385313198823,3426.644042412372,1740.61279296875,973.387451171875,3243.289794921875
3,-1,9999,9030,1245.9594188829901,383.09891880534315,-1,0,9030,2727.9647103244247,1554.255980066445,580.5165405273438,1163.094835517625,3430.2619549367832,1719.6563720703125,694.5191040039062,2087.290283203125
4,-1,9999,9030,1127.4130791935936,323.46666708885635,-1,0,9030,2727.964710324425,1554.255980066445,575.2454833984375,1161.8591582838724,3419.4214259835303,1707.773193359375,704.5643920898438,2017.0635986328125
5,-1,9999,9030,948.6417910261349,242.85316758539162,-1,0,9030,2727.9647103244247,1554.255980066445,570.8279418945312,1161.9776465757902,3419.518598257984,1690.9459228515625,704.5549926757812,2167.50634765625
6,-1,9999,9030,1131.8414632725433,312.59042191463186,-1,0,9030,2727.964710324425,1554.255980066445,578.594482421875,1163.1207865088488,3424.447600407698,1715.7247314453125,690.1378173828125,2099.054931640625
7,-1,9999,9030,1092.5974784234525,294.9654634048574,-1,0,9030,2727.964710324425,1554.255980066445,570.0845336914062,1168.8986448574815,3427.4948302522057,1689.8787841796875,687.2136840820312,2092.19140625
8,-1,9999,9030,1181.967202003595,345.21535254448554,-1,0,9030,2727.9647103244247,1554.255980066445,555.6593017578125,1162.0149976302653,3416.794005898782,1643.0626220703125,726.1484985351562,2221.781982421875
9,-1,9999,9030,1090.4116412817666,300.9845148325445,-1,0,9030,2727.964710324425,1554.255980066445,559.1649169921875,1163.052283158401,3421.5477625544822,1669.108154296875,708.8612670898438,2155.251953125
10,-1,9999,9030,1403.6289265873593,445.98539124069816,-1,0,9030,2727.964710324425,1554.255980066445,554.3269653320312,1165.7796116719978,3424.0973986980352,1642.6917724609375,709.2941284179688,2085.077392578125
11,-1,9999,9030,1144.6596874444103,338.4248669976115,-1,0,9030,2727.964710324425,1554.255980066445,549.283447265625,1162.6360855526739,3424.3446473150616,1624.3780517578125,696.5347900390625,2062.18505859375
12,-1,9999,9030,1111.9531224790899,326.8679072096267,-1,0,9030,2727.9647103244247,1554.255980066445,557.0191040039062,1165.148495920269,3428.831970651313,1651.1197509765625,726.6913452148438,2189.31494140625
13,-1,9999,9030,1210.1957112693124,346.61389341483743,-1,0,9030,2727.964710324425,1554.255980066445,559.0192260742188,1164.5951757707005,3425.0886250674735,1662.6231689453125,696.2850341796875,2095.45703125
14,-1,9999,9030,1121.6539278462487,329.7927854879882,-1,0,9030,2727.964710324425,1554.255980066445,544.21533203125,1166.8090269954791,3434.169859181764,1608.4056396484375,728.6696166992188,2217.3056640625
15,-1,9999,9030,1232.8914882829397,361.58033247516465,-1,0,9030,2727.9647103244247,1554.255980066445,546.9559936523438,1163.4209540345153,3424.3013690355237,1617.73193359375,700.4428100585938,2167.91162109375
16,-1,9999,9030,1287.0992057627268,417.9373714666628,-1,0,9030,2727.964710324425,1554.255980066445,544.615234375,1163.2195088018336,3427.064012704069,1618.982666015625,705.5292358398438,2076.987060546875
17,-1,9999,9030,1143.0405882860043,327.1103530763788,-1,0,9030,2727.9647103244247,1554.255980066445,538.2328491210938,1164.588184447119,3425.575905012417,1596.5908203125,899.14453125,2944.275390625
18,-1,9999,9030,1503.7383943503132,553.3532359057025,-1,0,9030,2727.964710324425,1554.255980066445,536.9776000976562,1170.7924360863992,3456.3966077517844,1589.6021728515625,716.4360961914062,2111.15283203125
19,-1,9999,9030,1412.367270443745,463.0800554153003,-1,0,9030,2727.964710324425,1554.255980066445,534.7471923828125,1163.9599377364493,3426.5669938574642,1587.147216796875,694.4244384765625,2067.1103515625
20,-1,9999,9030,1418.8001655635155,454.6884745644226,-1,0,9030,2727.9647103244247,1554.255980066445,532.5851440429688,1162.7783768230745,3420.965950971842,1576.201171875,715.6201171875,2186.4052734375
21,-1,9999,9030,1295.0903845790294,420.29706094675055,-1,0,9030,2727.964710324425,1554.255980066445,530.573974609375,1165.0910710119063,3427.383805430668,1580.1502685546875,716.93603515625,2190.515380859375
22,-1,9999,9030,1119.5709686039813,327.69321229195475,-1,0,9030,2727.964710324425,1554.255980066445,529.3663330078125,1161.993245184751,3422.4419844663084,1568.313720703125,768.0851440429688,2413.202392578125
