epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9030,1710.4335087157988,757.0163000898569,-1,0,9030,2727.9647103244247,1554.255980066445,447.43353271484375,1162.515394234208,3424.227132348883,1352.094482421875,752.9601440429688,2265.793701171875
1,-1,9999,9030,1566.3737645545148,623.7604615507992,-1,0,9030,2727.9647103244247,1554.255980066445,450.5437316894531,1162.0585688121894,3416.8251378483033,1359.697998046875,787.808349609375,2442.835205078125
2,-1,9999,9030,1741.4648389002637,701.3208963483671,-1,0,9030,2727.9647103244247,1554.255980066445,451.1524963378906,1164.2931259257568,3424.3816546708526,1363.231689453125,744.7721557617188,2223.164306640625
3,-1,9999,9030,2044.7549496497986,1058.5748899638454,-1,0,9030,2727.964710324425,1554.255980066445,449.8268127441406,1166.9758291165517,3428.2132716896576,1357.3929443359375,768.708251953125,2337.58935546875
4,-1,9999,9030,1719.6819172491007,698.0146807305209,-1,0,9030,2727.9647103244247,1554.255980066445,444.64312744140625,1163.353439881551,3423.3825323497113,1342.106201171875,742.8358154296875,2255.411376953125
5,-1,9999,9030,1738.3461126573716,688.3197553442463,-1,0,9030,2727.9647103244247,1554.255980066445,447.373779296875,1162.112330756464,3417.8794877054775,1352.3468017578125,771.2568969726562,2388.80517578125
6,-1,9999,9030,1653.174190090478,667.326091511998,-1,0,9030,2727.964710324425,1554.255980066445,447.98089599609375,1165.6093429756138,3430.566705967363,1354.66064453125,755.0703735351562,2282.064208984375
7,-1,9999,9030,1680.4005260372421,706.8858327363218,-1,0,9030,2727.9647103244247,1554.255980066445,449.6418762207031,1166.4060525440655,3428.3837752193276,1356.3057861328125,770.7889404296875,2348.869140625
8,-1,9999,9030,1645.5775448942554,689.1291814256216,-1,0,9030,2727.9647103244247,1554.255980066445,446.8265686035156,1163.0059520067916,3420.5778522050614,1349.6368408203125,763.8014526367188,2349.954833984375
9,-1,9999,9030,1608.5713725566118,604.3040487264082,-1,0,9030,2727.964710324425,1554.255980066445,450.11322021484375,1166.669602762907,3429.2780479105872,1370.0548095703125,779.309326171875,2395.007568359375
10,-1,9999,9030,1637.179654981033,651.4532111074045,-1,0,9030,2727.9647103244247,1554.255980066445,459.97174072265625,1166.4723655665348,3426.753728658007,1392.7093505859375,764.403564453125,2341.667236328125
11,-1,9999,9030,1646.7859925031785,639.3203000412134,-1,0,9030,2727.9647103244247,1554.255980066445,451.847412109375,1161.806994070862,3420.302526141793,1370.8673095703125,762.4368896484375,2334.10205078125
12,-1,9999,9030,1647.9142819657725,663.0471668362287,-1,0,9030,2727.964710324425,1554.255980066445,448.33245849609375,1161.9466644650277,3416.7116290371164,1356.1959228515625,798.8572998046875,2463.790771484375
13,-1,9999,9030,1781.1161253455882,770.8105260398763,-1,0,9030,2727.9647103244247,1554.255980066445,442.77783203125,1163.4818589655117,3426.169837616575,1336.1728515625,752.349609375,2301.61962890625
14,-1,9999,9030,1673.996534716476,702.7917975116674,-1,0,9030,2727.964710324425,1554.255980066445,444.6139831542969,1163.6987117643098,3425.282345221488,1349.439208984375,826.9884033203125,2610.540283203125
15,-1,9999,9030,1595.094393250319,662.6823862648567,-1,0,9030,2727.964710324425,1554.255980066445,445.0438537597656,1162.4031539635355,3417.7070622349274,1347.836181640625,830.6437377929688,2630.926513671875
16,-1,9999,9030,1680.8721323656525,733.4787065853378,-1,0,9030,2727.964710324425,1554.255980066445,446.8032531738281,1162.2228816525276,3417.944440967284,1351.0250244140625,764.5758056640625,2298.340087890625
17,-1,9999,9030,1713.1603731456096,770.6465354962206,-1,0,9030,2727.964710324425,1554.255980066445,446.2732238769531,1161.9228314712564,3421.972594167401,1352.8131103515625,773.2693481445312,2366.3681640625
18,-1,9999,9030,1535.3229862256694,625.5844390319844,-1,0,9030,2727.9647103244247,1554.255980066445,445.0244140625,1162.0825856035406,3415.3132596220416,1350.223388671875,797.142578125,2470.647705078125
19,-1,9999,9030,1746.5577615272657,792.8043210956939,-1,0,9030,2727.964710324425,1554.255980066445,441.40399169921875,1164.3675705691144,3422.138946976799,1338.4114990234375,784.5842895507812,2420.4267578125
20,-1,9999,9030,1565.430121144031,588.4489479082565,-1,0,9030,2727.964710324425,1554.255980066445,443.11968994140625,1162.8837264045899,3422.8870905779972,1341.87060546875,786.047119140625,2436.63818359375
21,-1,9999,9030,1665.738823469327,711.6230779783109,-1,0,9030,2727.964710324425,1554.255980066445,444.3065490722656,1162.752228257215,3419.470727605027,1347.1690673828125,771.5089111328125,2387.16162109375
22,-1,9999,9030,1756.637101212525,776.2145239743415,-1,0,9030,2727.9647103244247,1554.255980066445,491.25830078125,1162.4086158923294,3420.4334928636436,1483.199951171875,761.1165161132812,2314.552490234375
23,-1,9999,9030,1655.0555074838505,695.9855919819948,-1,0,9030,2727.9647103244247,1554.255980066445,452.1884460449219,1165.4906839087434,3430.842775042608,1367.9156494140625,745.8534545898438,2255.427490234375
