epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9030,1739.398266759686,753.7505806400333,-1,0,9030,2727.964710324425,1554.255980066445,427.77838134765625,1161.68902700073,3420.141482493176,1302.2088623046875,786.6571655273438,2451.53076171875
1,-1,9999,9030,1769.5008559664927,737.0512599385194,-1,0,9030,2727.9647103244247,1554.255980066445,431.8121337890625,1167.9511620909852,3434.747657239229,1315.863525390625,761.5347900390625,2332.88427734375
2,-1,9999,9030,1796.4584479527264,792.5297563007009,-1,0,9030,2727.9647103244247,1554.255980066445,428.5931091308594,1162.6559749977093,3426.062996735819,1309.0703125,754.4974975585938,2272.201904296875
3,-1,9999,9030,1795.78175649334,851.2424495199062,-1,0,9030,2727.9647103244247,1554.255980066445,430.18560791015625,1162.193946015912,3417.722193607243,1315.5654296875,762.8479614257812,2256.552490234375
4,-1,9999,9030,1817.1832328968453,824.2672579617067,-1,0,9030,2727.9647103244247,1554.255980066445,426.9663391113281,1162.6516986079935,3422.754351364515,1301.7320556640625,800.2352294921875,2449.129150390625
5,-1,9999,9030,1752.6395044655983,778.1834258259663,-1,0,9030,2727.964710324425,1554.255980066445,433.2745361328125,1163.1301317255422,3422.2873718120954,1320.6915283203125,780.4736938476562,2393.79638671875
6,-1,9999,9030,1666.7006648888932,691.4790032996094,-1,0,9030,2727.9647103244247,1554.255980066445,432.0836486816406,1161.8780523234584,3419.124416934264,1319.091552734375,759.7149658203125,2290.3955078125
7,-1,9999,9030,1769.614646244956,767.2478483267269,-1,0,9030,2727.964710324425,1554.255980066445,426.37939453125,1162.5608563435799,3422.7473797153066,1300.061279296875,757.5119018554688,2296.39501953125
8,-1,9999,9030,1799.7451295622593,800.9404941819369,-1,0,9030,2727.964710324425,1554.255980066445,427.2001037597656,1164.0467870560935,3421.216562224189,1304.4200439453125,767.6914672851562,2373.655517578125
9,-1,9999,9030,1825.4953140729945,799.9343041260113,-1,0,9030,2727.9647103244247,1554.255980066445,430.0044860839844,1164.5509840099392,3425.7027335033467,1312.5098876953125,771.156005859375,2376.849609375
10,-1,9999,9030,1705.890664003002,691.0916569988956,-1,0,9030,2727.964710324425,1554.255980066445,427.0443115234375,1162.8175169420165,3419.4872277567047,1304.7939453125,796.2616577148438,2477.256591796875
11,-1,9999,9030,1724.8231930644167,710.8123175993809,-1,0,9030,2727.964710324425,1554.255980066445,422.680908203125,1162.2361820416122,3418.9845032822664,1293.927490234375,772.9872436523438,2382.08837890625
12,-1,9999,9030,1640.2828926422194,686.4013796721053,-1,0,9030,2727.9647103244247,1554.255980066445,427.2656555175781,1165.0807292787667,3422.588231671159,1302.8729248046875,787.8442993164062,2446.0634765625
13,-1,9999,9030,1738.3977543208302,704.8787653164017,-1,0,9030,2727.964710324425,1554.255980066445,423.30108642578125,1165.1881879104956,3430.858458974835,1292.4862060546875,767.142333984375,2292.207763671875
14,-1,9999,9030,1961.991294597033,996.4791220940294,-1,0,9030,2727.964710324425,1554.255980066445,430.8902282714844,1163.1431438001885,3423.7195330996383,1325.72900390625,769.5980834960938,2296.389892578125
15,-1,9999,9030,1839.0814778039298,804.7276430892258,-1,0,9030,2727.964710324425,1554.255980066445,422.5404357910156,1162.9308145789373,3419.9718823695544,1292.1295166015625,771.7626342773438,2328.365234375
16,-1,9999,9030,1793.6209696366186,813.3082901145467,-1,0,9030,2727.964710324425,1554.255980066445,424.8913879394531,1161.417130604671,3419.8023350367607,1296.2503662109375,755.9422607421875,2312.656005859375
17,-1,9999,9030,1880.2355659268358,844.7484649323051,-1,0,9030,2727.964710324425,1554.255980066445,421.76788330078125,1163.766702972306,3428.7177875481652,1293.0341796875,764.6787109375,2364.79736328125
18,-1,9999,9030,1848.506158695153,853.947830646504,-1,0,9030,2727.964710324425,1554.255980066445,420.001220703125,1164.412456856731,3426.2957410666318,1284.69287109375,773.5975952148438,2359.341552734375
19,-1,9999,9030,2048.60393686093,1011.8926040363899,-1,0,9030,2727.9647103244247,1554.255980066445,422.79937744140625,1162.40040940128,3418.435076258731,1294.6964111328125,770.1599731445312,2319.676025390625
20,-1,9999,9030,1748.2179797116721,790.8295280923347,-1,0,9030,2727.9647103244247,1554.255980066445,425.08502197265625,1162.2991772825699,3421.45566247006,1296.6185302734375,800.8138427734375,2475.833251953125
21,-1,9999,9030,1853.5334268526055,825.0091646390566,-1,0,9030,2727.9647103244247,1554.255980066445,425.0123596191406,1161.9079931514098,3419.519948699982,1300.0006103515625,798.163330078125,2474.26806640625
22,-1,9999,9030,1908.8197856508248,923.4611706558157,-1,0,9030,2727.9647103244247,1554.255980066445,425.37384033203125,1161.6447389588398,3419.5051807630584,1298.2996826171875,775.829833984375,2328.968017578125
23,-1,9999,9030,1834.829154838667,837.112630680923,-1,0,9030,2727.9647103244247,1554.255980066445,422.5662536621094,1162.1231992645053,3423.0802169668764,1290.8165283203125,781.796875,2392.89599609375
24,-1,9999,9030,1786.1674123559542,788.2644154731782,-1,0,9030,2727.9647103244247,1554.255980066445,419.4353942871094,1164.021709676374,3422.2846329720287,1283.635498046875,759.1344604492188,2305.79541015625
25,-1,9999,9030,1941.6511989077817,903.2220529570664,-1,0,9030,2727.9647103244247,1554.255980066445,422.2980651855469,1162.3058920408084,3422.158188462937,1289.8465576171875,801.5676879882812,2477.141357421875
26,-1,9999,9030,1802.1604302549324,758.6805784509296,-1,0,9030,2727.964710324425,1554.255980066445,426.5883483886719,1162.996170822812,3420.9627045493316,1301.4158935546875,771.017333984375,2304.09326171875
27,-1,9999,9030,2128.817103911953,1125.945142557123,-1,0,9030,2727.964710324425,1554.255980066445,423.85003662109375,1163.9410192409423,3420.781512639867,1294.63427734375,785.8065795898438,2373.555419921875
28,-1,9999,9030,1858.1226335711535,871.3204032026421,-1,0,9030,2727.964710324425,1554.255980066445,427.0264587402344,1162.2956025113776,3421.010161733534,1311.6993408203125,785.5206909179688,2427.19384765625
29,-1,9999,9030,1877.8862884239468,843.2255378313371,-1,0,9030,2727.964710324425,1554.255980066445,420.4483337402344,1169.3101342207724,3430.124392019399,1286.5472412109375,771.1434326171875,2345.1201171875
