epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9030,1501.8730483061304,565.6189133804139,-1,0,9030,2727.9647103244247,1554.255980066445,521.23095703125,1161.729397037397,3420.110388893152,1549.301025390625,745.9641723632812,2306.561279296875
1,-1,9999,9030,1177.9901219019996,372.2828768665757,-1,0,9030,2727.964710324425,1554.255980066445,515.2537841796875,1164.4978481951,3432.1300327207146,1529.623291015625,785.9579467773438,2495.742431640625
2,-1,9999,9030,1267.7211451253006,426.2529981099424,-1,0,9030,2727.9647103244247,1554.255980066445,512.2902221679688,1161.5174537991547,3422.271450069312,1520.5013427734375,714.9955444335938,2142.88916015625
3,-1,9999,9030,1331.718147719543,472.975284509973,-1,0,9030,2727.9647103244247,1554.255980066445,521.375732421875,1166.3726274097517,3425.441797593508,1548.16455078125,706.4056396484375,2112.205078125
4,-1,9999,9030,1398.0622106589378,472.9869804881472,-1,0,9030,2727.9647103244247,1554.255980066445,509.97076416015625,1162.770760057802,3422.159508069967,1513.4947509765625,780.0916137695312,2472.11962890625
5,-1,9999,9030,1385.3196798259696,466.7356048860489,-1,0,9030,2727.964710324425,1554.255980066445,508.1758728027344,1164.9108055435292,3430.641230487411,1512.70751953125,724.0489501953125,2213.376953125
6,-1,9999,9030,1394.1271880814102,485.00020401931283,-1,0,9030,2727.964710324425,1554.255980066445,508.068115234375,1165.756054328881,3430.472075583273,1513.348388671875,699.1896362304688,2107.460693359375
7,-1,9999,9030,1283.702021726334,425.93391728742444,-1,0,9030,2727.964710324425,1554.255980066445,510.628173828125,1162.4483855099113,3422.4200993834725,1525.8623046875,710.9340209960938,2156.08349609375
8,-1,9999,9030,1439.8793790865236,507.8675685417513,-1,0,9030,2727.9647103244247,1554.255980066445,511.2993469238281,1162.1750386628678,3418.0705928751495,1523.2257080078125,709.1493530273438,2167.412353515625
9,-1,9999,9030,1411.3295333158624,489.4304014031244,-1,0,9030,2727.964710324425,1554.255980066445,513.5355224609375,1161.6433363918004,3418.9300191061548,1534.4595947265625,734.8885498046875,2223.500732421875
