epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9030,1454.5472443807314,501.6776945958667,-1,0,9030,2727.9647103244247,1554.255980066445,489.4464111328125,1162.5444029239095,3422.9939784147427,1463.9031982421875,761.9964599609375,2327.593017578125
1,-1,9999,9030,1493.3415619098878,557.5461797858327,-1,0,9030,2727.9647103244247,1554.255980066445,483.562744140625,1166.7114569557261,3418.888163540676,1447.4407958984375,732.6094360351562,2162.67822265625
2,-1,9999,9030,1563.8898614002155,573.6409523411248,-1,0,9030,2727.964710324425,1554.255980066445,488.6094055175781,1162.7842361167664,3421.9276783240603,1463.4013671875,728.791015625,2192.388671875
3,-1,9999,9030,1420.6654341410208,501.47009794154303,-1,0,9030,2727.964710324425,1554.255980066445,488.05682373046875,1162.334662564153,3417.946762475149,1461.476318359375,726.9691162109375,2154.980712890625
4,-1,9999,9030,1537.4180945289056,572.0645747382248,-1,0,9030,2727.9647103244247,1554.255980066445,484.2044982910156,1162.4927593868254,3419.6298122652033,1447.582275390625,763.587646484375,2377.461181640625
5,-1,9999,9030,1581.274147862222,569.6484505911338,-1,0,9030,2727.964710324425,1554.255980066445,490.9459533691406,1164.4512609688766,3428.043873303633,1471.7379150390625,738.7813720703125,2221.88671875
6,-1,9999,9030,1416.7561888434284,508.10115723246554,-1,0,9030,2727.964710324425,1554.255980066445,482.86859130859375,1162.2124540899488,3426.415469576854,1440.95654296875,732.741943359375,2244.117919921875
7,-1,9999,9030,1448.5154313039432,534.8503666788571,-1,0,9030,2727.9647103244247,1554.255980066445,475.10980224609375,1162.1399368631128,3425.269918954855,1420.5592041015625,749.73583984375,2254.230224609375
8,-1,9999,9030,1385.2074260939264,515.0907548745209,-1,0,9030,2727.9647103244247,1554.255980066445,479.232177734375,1162.2099511543565,3421.0582461326526,1435.3470458984375,806.911865234375,2513.23193359375
9,-1,9999,9030,1516.825999365065,579.0222852300964,-1,0,9030,2727.9647103244247,1554.255980066445,481.35809326171875,1161.902230396285,3416.427279355343,1440.099853515625,737.5897216796875,2179.417724609375
10,-1,9999,9030,1390.7018267308201,507.5022245268654,-1,0,9030,2727.964710324425,1554.255980066445,481.7958984375,1162.4409044927643,3423.19505491569,1446.310791015625,811.873046875,2552.423095703125
11,-1,9999,9030,1693.930084068954,659.2347235660617,-1,0,9030,2727.9647103244247,1554.255980066445,475.91534423828125,1162.1441633369875,3420.5337619291968,1422.6575927734375,763.8057861328125,2352.26513671875
12,-1,9999,9030,1647.2107731631845,670.0835494213804,-1,0,9030,2727.9647103244247,1554.255980066445,474.0628356933594,1163.2625449151287,3418.322160202267,1416.91796875,732.5457763671875,2164.72216796875
13,-1,9999,9030,1347.071626391143,476.1600846952972,-1,0,9030,2727.9647103244247,1554.255980066445,479.1733093261719,1162.635792914834,3421.0793357408597,1437.2615966796875,740.0533447265625,2224.843017578125
14,-1,9999,9030,1675.8663002322717,712.5796346496985,-1,0,9030,2727.9647103244247,1554.255980066445,482.24591064453125,1162.3446612719429,3421.03602502235,1447.9014892578125,774.4142456054688,2313.686767578125
15,-1,9999,9030,1503.1417956210782,545.992946898693,-1,0,9030,2727.9647103244247,1554.255980066445,494.7980651855469,1161.8924048984734,3418.1844553002325,1487.4912109375,738.5451049804688,2208.968017578125
16,-1,9999,9030,1516.6046618077237,555.9129750504314,-1,0,9030,2727.9647103244247,1554.255980066445,474.51678466796875,1163.9224930110397,3421.991001801335,1419.1973876953125,771.1376342773438,2397.650390625
17,-1,9999,9030,1714.6821877452662,690.6298865726092,-1,0,9030,2727.9647103244247,1554.255980066445,470.43804931640625,1162.138084192194,3425.9157282358633,1410.7723388671875,744.9165649414062,2240.5185546875
18,-1,9999,9030,1693.8798977128026,696.0213927272035,-1,0,9030,2727.9647103244247,1554.255980066445,468.61517333984375,1165.6527849736806,3427.5502643715663,1404.132080078125,765.897216796875,2336.54443359375
19,-1,9999,9030,1615.4888168522918,596.4605131530171,-1,0,9030,2727.9647103244247,1554.255980066445,472.3148498535156,1162.2076475501797,3418.0678380245413,1419.85009765625,746.104248046875,2265.26171875
20,-1,9999,9030,1383.7885108420587,456.58870425001857,-1,0,9030,2727.964710324425,1554.255980066445,473.9346008300781,1165.8439084844872,3432.103735038894,1420.588134765625,750.9144287109375,2287.12109375
21,-1,9999,9030,1581.186875747646,618.5306070484856,-1,0,9030,2727.9647103244247,1554.255980066445,478.2784118652344,1161.954556479504,3423.064895287357,1434.516357421875,737.6088256835938,2262.35205078125
22,-1,9999,9030,1328.5464342430373,420.4669302408135,-1,0,9030,2727.9647103244247,1554.255980066445,472.89862060546875,1165.0627755308685,3425.7037131124853,1415.693603515625,760.9063110351562,2338.48828125
23,-1,9999,9030,1638.7928377963815,646.9303124274791,-1,0,9030,2727.964710324425,1554.255980066445,470.5061340332031,1163.7554219710878,3421.789394799077,1410.9490966796875,771.19091796875,2367.20849609375
24,-1,9999,9030,1598.09411442039,653.4447151953926,-1,0,9030,2727.9647103244247,1554.255980066445,467.54058837890625,1161.9822716883687,3418.354011587389,1400.7103271484375,742.3775634765625,2215.0146484375
25,-1,9999,9030,1484.7286737145257,538.1254701231669,-1,0,9030,2727.964710324425,1554.255980066445,469.5035400390625,1162.0193826770712,3420.4596192940967,1415.571533203125,779.5897216796875,2443.83642578125
26,-1,9999,9030,1491.3624006267896,549.2161478162653,-1,0,9030,2727.9647103244247,1554.255980066445,465.0994873046875,1162.4168576319444,3419.3048623884188,1399.649169921875,773.13623046875,2402.912353515625
27,-1,9999,9030,1437.511301306139,526.7995702346661,-1,0,9030,2727.9647103244247,1554.255980066445,462.3779296875,1166.1452306334786,3430.7029863098405,1386.6422119140625,759.3455200195312,2360.649169921875
28,-1,9999,9030,1700.6202500352304,683.7604325398192,-1,0,9030,2727.964710324425,1554.255980066445,469.9193115234375,1165.7463851917878,3431.720076088327,1417.2979736328125,780.4823608398438,2391.563232421875
29,-1,9999,9030,1533.8596998101593,622.0027347773809,-1,0,9030,2727.964710324425,1554.255980066445,462.037109375,1163.4529121545097,3426.203078805303,1388.69580078125,756.5319213867188,2309.47216796875
