epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9030,15.984855150930443,1.0621904742810153,-1,0,9030,2727.964710324425,1554.255980066445,2986.599853515625,1164.499249426982,3425.701904187132,10211.3134765625,1909.7418212890625,6547.0673828125
1,-1,9999,9030,279.4039970767225,63.63173502191225,-1,0,9030,2727.964710324425,1554.255980066445,1250.81689453125,1161.7133589162788,3420.419574096144,4005.26318359375,987.0679931640625,3021.663330078125
2,-1,9999,9030,393.72073666010584,96.81745702806501,-1,0,9030,2727.9647103244247,1554.255980066445,1070.3438720703125,1168.5158060232193,3440.160818595282,3353.035888671875,882.9992065429688,2590.116455078125
3,-1,9999,9030,490.59678274757556,123.30412001215326,-1,0,9030,2727.9647103244247,1554.255980066445,984.2265625,1161.9297019895675,3417.5399025011743,3067.054443359375,860.4957885742188,2542.131591796875
4,-1,9999,9030,500.2216263329199,125.28396011361912,-1,0,9030,2727.9647103244247,1554.255980066445,941.768798828125,1162.8993414550037,3429.0899317607514,2892.3857421875,874.8369750976562,2564.822265625
5,-1,9999,9030,467.6822774742648,106.06254871206592,-1,0,9030,2727.964710324425,1554.255980066445,893.8596801757812,1162.6794122262436,3422.5857003543924,2735.42138671875,948.1448364257812,3033.19140625
6,-1,9999,9030,437.71318068452274,98.14317724720584,-1,0,9030,2727.964710324425,1554.255980066445,857.5903930664062,1163.9511354818321,3421.3642562250284,2608.173828125,774.9788818359375,2394.960205078125
7,-1,9999,9030,729.1668140448024,213.08508649245317,-1,0,9030,2727.9647103244247,1554.255980066445,794.19580078125,1162.4555887344768,3419.4196017075406,2383.86376953125,736.87890625,2139.76708984375
8,-1,9999,9030,718.3934134220515,212.4667085279262,-1,0,9030,2727.964710324425,1554.255980066445,783.4542236328125,1161.2854968523097,3419.118913109712,2352.536865234375,752.9480590820312,2195.249267578125
9,-1,9999,9030,598.154723459591,153.0447682207316,-1,0,9030,2727.964710324425,1554.255980066445,750.3621826171875,1163.4032126188747,3425.2811388480254,2249.714599609375,775.0396118164062,2382.81787109375
10,-1,9999,9030,683.0448503001842,190.2139150135673,-1,0,9030,2727.964710324425,1554.255980066445,733.403564453125,1169.1421990382657,3442.870902547613,2187.7724609375,719.216064453125,2165.53857421875
11,-1,9999,9030,671.8574734401225,189.5922781060853,-1,0,9030,2727.964710324425,1554.255980066445,728.5316772460938,1162.7469096041962,3422.6944118422443,2180.655029296875,699.1222534179688,2106.42578125
12,-1,9999,9030,672.0205342123655,182.04303283530348,-1,0,9030,2727.9647103244247,1554.255980066445,700.918212890625,1161.5645174500055,3414.1591935418483,2083.976318359375,707.1549682617188,2105.67919921875
13,-1,9999,9030,836.2458651576228,222.41213607409205,-1,0,9030,2727.964710324425,1554.255980066445,700.9407348632812,1163.4094861911042,3420.9847896783504,2098.135498046875,696.0553588867188,2032.29541015625
14,-1,9999,9030,652.1173213189584,137.45879251626243,-1,0,9030,2727.9647103244247,1554.255980066445,692.5154418945312,1165.6496490165475,3427.931258016679,2069.75341796875,717.3989868164062,2150.291259765625
15,-1,9999,9030,675.259886117291,178.65151476097662,-1,0,9030,2727.9647103244247,1554.255980066445,685.7189331054688,1167.6069323059046,3431.4448783476773,2053.513916015625,701.0878295898438,2125.5673828125
16,-1,9999,9030,762.3583296109258,218.84426783669167,-1,0,9030,2727.964710324425,1554.255980066445,660.2504272460938,1162.2552237580476,3422.3906084976006,1962.2886962890625,686.3845825195312,2055.407470703125
17,-1,9999,9030,859.820144409896,237.92679018868694,-1,0,9030,2727.964710324425,1554.255980066445,666.1087646484375,1162.258556470066,3421.882227163234,1988.4473876953125,726.17626953125,2098.975830078125
18,-1,9999,9030,732.155699752764,196.50787155522264,-1,0,9030,2727.964710324425,1554.255980066445,644.3036499023438,1161.3189309201455,3416.9917843135695,1905.0526123046875,763.9954223632812,2404.130859375
19,-1,9999,9030,775.4729654549137,208.46641353461004,-1,0,9030,2727.9647103244247,1554.255980066445,644.0557861328125,1167.4445789052031,3433.1997097198855,1914.340087890625,798.8746948242188,2518.496826171875
20,-1,9999,9030,895.896917561634,246.93891278032052,-1,0,9030,2727.964710324425,1554.255980066445,639.5147094726562,1161.7417422260226,3418.8729293816527,1900.6290283203125,708.0580444335938,2171.651611328125
21,-1,9999,9030,854.1863072438382,241.6872844731656,-1,0,9030,2727.964710324425,1554.255980066445,627.2791137695312,1162.2357417422597,3423.4995751814267,1857.8873291015625,729.69482421875,2159.88525390625
22,-1,9999,9030,925.7289254189094,265.4102245562265,-1,0,9030,2727.964710324425,1554.255980066445,628.6256103515625,1164.5273369274582,3424.4262741762814,1871.9609375,940.5,3078.80322265625
23,-1,9999,9030,999.0262964593071,279.2692207346855,-1,0,9030,2727.9647103244247,1554.255980066445,620.0601196289062,1161.5184485941757,3418.854573764171,1839.361328125,689.9595947265625,2077.333251953125
24,-1,9999,9030,982.215800736697,276.6274131277933,-1,0,9030,2727.964710324425,1554.255980066445,611.8009643554688,1162.8693293456893,3421.7040110473636,1811.6162109375,817.3527221679688,2384.788818359375
25,-1,9999,9030,978.8684405955528,286.2346712939499,-1,0,9030,2727.9647103244247,1554.255980066445,606.7091064453125,1161.8602297680404,3421.14631241228,1800.2791748046875,707.92578125,2087.787841796875
26,-1,9999,9030,927.5660410242481,234.33443768153984,-1,0,9030,2727.964710324425,1554.255980066445,603.8629150390625,1163.3723100482748,3422.7413987718564,1791.0086669921875,705.5679931640625,2148.852294921875
27,-1,9999,9030,1028.3571059411356,273.2792312475196,-1,0,9030,2727.9647103244247,1554.255980066445,596.094482421875,1163.3347568953889,3418.501566039559,1771.2088623046875,715.1432495117188,2181.2119140625
28,-1,9999,9030,893.7925961961357,226.61780081405857,-1,0,9030,2727.9647103244247,1554.255980066445,589.170654296875,1163.6479356832162,3425.011827098928,1745.7283935546875,696.2011108398438,2119.286865234375
29,-1,9999,9030,1099.9932625631645,321.20500996232295,-1,0,9030,2727.9647103244247,1554.255980066445,595.6508178710938,1164.5346182801238,3419.0657532975456,1771.1322021484375,688.8367919921875,2041.3336181640625
