cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count
london,1,1,45,500,800,200,0.015,12
london,2,1,45,500,800,200,0.01375,11
london,3,1,45,500,800,200,0.01625,13
london,4,1,45,500,800,200,0.01375,11
london,5,1,45,500,800,200,0.005,4
london,6,1,45,500,800,200,0.00625,5
london,7,1,45,500,800,200,0.00375,3
london,8,1,45,500,800,200,0.00625,5
london,1,1,45,500,800,200,0.01125,9
london,1,2,45,500,800,200,0.0225,18
london,1,3,45,500,800,200,0.02875,23
london,1,4,45,500,800,200,0.0275,22
london,1,5,45,500,800,200,0.02,16
london,1,6,45,500,800,200,0.03375,27
london,1,7,45,500,800,200,0.0225,18
london,1,8,45,500,800,200,0.03875,31
london,1,1,5,500,800,200,0.29875,239
london,1,1,25,500,800,200,0.0725,58
london,1,1,45,500,800,200,0.01125,9
london,1,1,65,500,800,200,0.00875,7
london,1,1,85,500,800,200,0.00375,3
london,1,1,105,500,800,200,0.00875,7
london,1,1,125,500,800,200,0.00125,1
london,1,1,145,500,800,200,0.00625,5
london,1,1,165,500,800,200,0.00375,3
london,1,1,185,500,800,200,0.0025,2
london,1,1,205,500,800,200,0.00125,1
london,1,1,225,500,800,200,0.00125,1
london,1,1,245,500,800,200,0.005,4
madrid,1,1,45,500,800,200,0.04125,33
madrid,2,1,45,500,800,200,0.01625,13
madrid,3,1,45,500,800,200,0.01125,9
madrid,4,1,45,500,800,200,0.0125,10
madrid,5,1,45,500,800,200,0.01375,11
madrid,6,1,45,500,800,200,0.00625,5
madrid,7,1,45,500,800,200,0.0,0
madrid,8,1,45,500,800,200,0.00375,3
madrid,1,1,45,500,800,200,0.04625,37
madrid,1,2,45,500,800,200,0.0375,30
madrid,1,3,45,500,800,200,0.05125,41
madrid,1,4,45,500,800,200,0.05125,41
madrid,1,5,45,500,800,200,0.055,44
madrid,1,6,45,500,800,200,0.0725,58
madrid,1,7,45,500,800,200,0.05625,45
madrid,1,8,45,500,800,200,0.0575,46
madrid,1,1,5,500,800,200,0.39,312
madrid,1,1,25,500,800,200,0.1,80
madrid,1,1,45,500,800,200,0.03875,31
madrid,1,1,65,500,800,200,0.025,20
madrid,1,1,85,500,800,200,0.01125,9
madrid,1,1,105,500,800,200,0.00625,5
madrid,1,1,125,500,800,200,0.0025,2
madrid,1,1,145,500,800,200,0.00625,5
madrid,1,1,165,500,800,200,0.0,0
madrid,1,1,185,500,800,200,0.00125,1
madrid,1,1,205,500,800,200,0.0025,2
madrid,1,1,225,500,800,200,0.0,0
madrid,1,1,245,500,800,200,0.00125,1
melbourne,1,1,45,500,800,200,0.22875,183
melbourne,2,1,45,500,800,200,0.1825,146
melbourne,3,1,45,500,800,200,0.13375,107
melbourne,4,1,45,500,800,200,0.085,68
melbourne,5,1,45,500,800,200,0.0575,46
melbourne,6,1,45,500,800,200,0.04125,33
melbourne,7,1,45,500,800,200,0.02875,23
melbourne,8,1,45,500,800,200,0.015,12
melbourne,1,1,45,500,800,200,0.25625,205
melbourne,1,2,45,500,800,200,0.255,204
melbourne,1,3,45,500,800,200,0.2875,230
london,1,1,45,750,800,200,0.13625,109
london,2,1,45,750,800,200,0.07875,63
london,3,1,45,750,800,200,0.04125,33
london,4,1,45,750,800,200,0.04375,35
london,5,1,45,750,800,200,0.02375,19
london,6,1,45,750,800,200,0.02,16
london,7,1,45,750,800,200,0.01375,11
london,8,1,45,750,800,200,0.0125,10
london,1,1,45,750,800,200,0.155,124
london,1,2,45,750,800,200,0.145,116
london,1,3,45,750,800,200,0.1425,114
london,1,4,45,750,800,200,0.1625,130
london,1,5,45,750,800,200,0.1675,134
london,1,6,45,750,800,200,0.1475,118
london,1,7,45,750,800,200,0.14,112
london,1,8,45,750,800,200,0.12375,99
london,1,1,5,750,800,200,0.1575,126
