cityname,i_o_length,prediction_horizon,grid_size,thresh,config_cx_sample_whole_data,CSR_MP_no_thresh_mean,CSR_MP_no_thresh_median,CSR_MP_count_y_exceeding_r_x,CSR_MP_sum_y_exceeding_r_x_max,CSR_MP_sum_y_exceeding_r_x_mean,CSR_MP_sum_exp_y_exceeding_r_x_mean,CSR_MP_no_thresh_frac_mean_2,CSR_MP_no_thresh_frac_mean_2_exp,CSR_MP_no_thresh_frac_sum,CSR_PM_no_thresh_mean,CSR_PM_no_thresh_median,CSR_PM_count_y_exceeding_r_x,CSR_PM_sum_y_exceeding_r_x_max,CSR_PM_sum_y_exceeding_r_x_mean,CSR_PM_sum_exp_y_exceeding_r_x_mean,CSR_PM_no_thresh_frac_mean_2,CSR_PM_no_thresh_frac_mean_2_exp,CSR_PM_no_thresh_frac_sum,CSR_NM_no_thresh_mean,CSR_NM_no_thresh_median,CSR_NM_count_y_exceeding_r_x,CSR_NM_sum_y_exceeding_r_x_max,CSR_NM_sum_y_exceeding_r_x_mean,CSR_NM_sum_exp_y_exceeding_r_x_mean,CSR_NM_no_thresh_frac_mean_2,CSR_NM_no_thresh_frac_mean_2_exp,CSR_NM_no_thresh_frac_sum,CSR_GB_no_thresh_mean,CSR_GB_no_thresh_median,CSR_GB_count_y_exceeding_r_x,CSR_GB_sum_y_exceeding_r_x_max,CSR_GB_sum_y_exceeding_r_x_mean,CSR_GB_sum_exp_y_exceeding_r_x_mean,CSR_GB_no_thresh_frac_mean_2,CSR_GB_no_thresh_frac_mean_2_exp,CSR_GB_no_thresh_frac_sum
madrid,4,1,25,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1029.4447936288693,988.3931451612902,5.985,2203888.217429241,1311.5523293965498,0.002727223361332828,1.3881393452576016,0.3735179743873871,1.203011073261304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,25,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,261.1832338025505,264.2042264038232,5.035333333333333,696616.6019131732,349.980476764261,0.005755123570170149,1.2126732371157187,0.3551522939208999,1.119192237557689,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,25,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,836.2195081220859,862.9354838709678,5.623666666666667,1590003.9162318546,1019.4616850827772,0.003486672427677416,1.1864054423445918,0.36164623246494615,1.0871444857548243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,35,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1614.686492184116,1549.554435483871,3.667666666666667,4684087.929895967,2208.3216056490483,0.0018259024715528156,1.5081019531703135,0.3773261560174019,1.0987497401372772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,35,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,444.6371133734255,441.7721774193549,4.749666666666666,1080178.3686898584,609.9926333963625,0.003865330691643309,1.1492610536378012,0.3658353785257597,1.0751265464556692,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,35,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,875.9061556052125,897.5645161290322,4.8133333333333335,1548504.5933258766,1027.7894317247944,0.0032951378236386487,1.1060183487284245,0.3675110179127295,1.0353355955817376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,45,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2189.913619698656,1756.421370967742,5.057666666666667,5516467.832932562,3147.639920645339,0.0011497279010665386,1.2793632567615398,0.36927067808348496,1.1138619890358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,45,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,572.3397511577074,558.2217741935484,4.953666666666667,1567795.9028977724,776.3108860358997,0.0031708200819074257,1.1279147482321066,0.36199554088900904,1.0628182295731798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,45,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1013.9118526022562,990.0,4.599666666666667,1772626.2838350823,1187.7993607258034,0.003244042194252026,1.0781231293363018,0.36533694970370684,1.03136382349048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3145.8763990714024,2683.3850806451615,5.428,9498522.119845575,4672.390400994684,0.0013209089836261738,1.3156492238899073,0.36749496860029923,1.1306625908578598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
