cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean
london,1,1,45,500,800,200,0.0225,18,915.0,1002.9141850917957
london,1,2,45,500,800,200,0.03375,27,943.0,1021.3137537011552
london,1,3,45,500,800,200,0.0525,42,994.0,1055.22645314832
london,1,4,45,500,800,200,0.05375,43,1040.0,1093.4912163933766
london,1,5,45,500,800,200,0.055,44,1062.0,1115.9778454833438
london,1,6,45,500,800,200,0.0575,46,1073.0,1132.270348778569
london,1,7,45,500,800,200,0.07875,63,1099.0,1156.8601212121212
london,1,8,45,500,800,200,0.085,68,1110.0,1166.0896137755412
madrid,1,1,45,500,800,200,0.06,48,1680.0,2242.474402088773
madrid,1,2,45,500,800,200,0.06125,49,2028.0,2414.836050195948
madrid,1,3,45,500,800,200,0.05875,47,2268.0,2550.11000343067
madrid,1,4,45,500,800,200,0.08875,71,2521.0,2705.9095372802585
madrid,1,5,45,500,800,200,0.0875,70,2700.0,2861.475764610881
madrid,1,6,45,500,800,200,0.08875,71,2877.0,2982.2790312815337
madrid,1,7,45,500,800,200,0.09125,73,2980.0,3057.7128129602356
madrid,1,8,45,500,800,200,0.09375,75,3084.0,3145.359563504092
melbourne,1,1,45,500,800,200,0.3075,246,496.0,530.2234134177936
melbourne,1,2,45,500,800,200,0.385,308,548.0,582.0665638888889
melbourne,1,3,45,500,800,200,0.425,340,576.0,617.7559206899797
melbourne,1,4,45,500,800,200,0.4675,374,606.0,660.357559527412
melbourne,1,5,45,500,800,200,0.4875,390,630.0,690.1442766990945
melbourne,1,6,45,500,800,200,0.54125,433,663.0,732.9778264467815
melbourne,1,7,45,500,800,200,0.56375,451,679.0,748.5461635054975
melbourne,1,8,45,500,800,200,0.575,460,705.0,771.2780046105868
