cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,CSR_PM_no_thresh_frac_median,CSR_PM_no_thresh_frac_mean
london,1,1,45,500,400,200,NULL,NULL,903.0,966.5301666666667,1.0,1.1150611013537641
london,2,1,45,500,400,200,NULL,NULL,1232.0,1388.0188158961882,0.9921935987509758,1.106802820546739
london,3,1,45,500,400,200,NULL,NULL,1227.0,1345.7148390220286,0.9876590803087848,1.0671728901542834
london,4,1,45,500,400,200,NULL,NULL,1273.5,1397.3528629032257,0.9874804381846636,1.0544564519628365
london,5,1,45,500,400,200,NULL,NULL,1322.0,1480.4823534162495,0.9945848375451264,1.0744720723398518
london,6,1,45,500,400,200,NULL,NULL,1352.0,1527.9481284285253,0.9745870385527338,1.0479775115856913
london,7,1,45,500,400,200,NULL,NULL,1354.0,1542.3020223630565,0.9755700325732899,1.0328180646358613
london,8,1,45,500,400,200,NULL,NULL,1402.0,1610.8997980613894,0.978021978021978,1.0480540804838194
london,1,1,45,500,400,200,NULL,NULL,907.0,1002.2598723989826,1.0,1.1342009136787534
london,1,2,45,500,400,200,NULL,NULL,975.0,1043.46525,0.9962429540685255,1.1124601142141828
london,1,3,45,500,400,200,NULL,NULL,978.0,1056.0516824013555,0.9977540643742402,1.1373753066961123
london,1,4,45,500,400,200,NULL,NULL,1001.0,1080.9660640787667,0.9793459552495697,1.1066284558628081
london,1,5,45,500,400,200,NULL,NULL,1058.0,1126.3730229180117,0.9896476106858587,1.1302186991146423
london,1,6,45,500,400,200,NULL,NULL,1072.0,1126.771047849788,0.964203233256351,1.0979507605604848
london,1,7,45,500,400,200,NULL,NULL,1103.5,1156.0585887096775,0.9707703970512052,1.086009457516847
london,1,8,45,500,400,200,NULL,NULL,1107.0,1161.5974807218702,0.9776046738072055,1.1065885831845372
london,1,1,5,500,400,200,NULL,NULL,238.0,301.0321666666667,0.9951456310679612,1.2136636305142492
london,1,1,25,500,400,200,NULL,NULL,818.0,915.3447916666667,0.9844072367902985,1.173515725469708
london,1,1,45,500,400,200,NULL,NULL,919.0,1014.2457916666667,0.9953298291148214,1.142082709611077
london,1,1,65,500,400,200,NULL,NULL,1371.0,1780.0042916666666,0.9879707112970711,1.2753291020921014
london,1,1,85,500,400,200,NULL,NULL,1423.0,1820.3672848510107,0.996629213483146,1.2642358259883852
