cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,CSR_PM_no_thresh_frac_median,CSR_PM_no_thresh_frac_mean
london,1,1,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,1,1,55,200,800,40,0.005,4,NULL,NULL,NULL,NULL
london,1,1,55,400,800,40,0.0175,14,NULL,NULL,NULL,NULL
london,1,1,55,600,800,40,0.045,36,NULL,NULL,NULL,NULL
london,1,1,55,800,800,40,0.12625,101,NULL,NULL,NULL,NULL
london,1,1,55,1100,800,40,0.4,320,NULL,NULL,NULL,NULL
london,1,1,55,1300,800,40,0.64375,515,NULL,NULL,NULL,NULL
london,1,1,55,1500,800,40,0.825,660,NULL,NULL,NULL,NULL
london,1,1,55,2000,800,40,0.84,672,NULL,NULL,NULL,NULL
london,1,1,55,2500,800,40,0.78875,631,NULL,NULL,NULL,NULL
london,1,1,55,3000,800,40,0.73375,587,NULL,NULL,NULL,NULL
london,1,1,55,3500,800,40,0.615,492,NULL,NULL,NULL,NULL
london,2,1,55,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
london,2,1,55,200,800,40,0.00625,5,NULL,NULL,NULL,NULL
london,2,1,55,400,800,40,0.01625,13,NULL,NULL,NULL,NULL
london,2,1,55,600,800,40,0.0275,22,NULL,NULL,NULL,NULL
london,2,1,55,800,800,40,0.08625,69,NULL,NULL,NULL,NULL
london,2,1,55,1100,800,40,0.29625,237,NULL,NULL,NULL,NULL
london,2,1,55,1300,800,40,0.56875,455,NULL,NULL,NULL,NULL
london,2,1,55,1500,800,40,0.74875,599,NULL,NULL,NULL,NULL
london,2,1,55,2000,800,40,0.855,684,NULL,NULL,NULL,NULL
london,2,1,55,2500,800,40,0.87125,697,NULL,NULL,NULL,NULL
london,2,1,55,3000,800,40,0.85375,683,NULL,NULL,NULL,NULL
london,2,1,55,3500,800,40,0.775,620,NULL,NULL,NULL,NULL
london,3,1,55,100,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,3,1,55,200,800,40,0.00625,5,NULL,NULL,NULL,NULL
london,3,1,55,400,800,40,0.015,12,NULL,NULL,NULL,NULL
london,3,1,55,600,800,40,0.0325,26,NULL,NULL,NULL,NULL
london,3,1,55,800,800,40,0.04875,39,NULL,NULL,NULL,NULL
london,3,1,55,1100,800,40,0.22375,179,NULL,NULL,NULL,NULL
london,3,1,55,1300,800,40,0.47625,381,NULL,NULL,NULL,NULL
london,3,1,55,1500,800,40,0.69125,553,NULL,NULL,NULL,NULL
london,3,1,55,2000,800,40,0.83375,667,NULL,NULL,NULL,NULL
london,3,1,55,2500,800,40,0.8875,710,NULL,NULL,NULL,NULL
london,3,1,55,3000,800,40,0.885,708,NULL,NULL,NULL,NULL
london,3,1,55,3500,800,40,0.86625,693,NULL,NULL,NULL,NULL
london,4,1,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,1,55,200,800,40,0.0125,10,NULL,NULL,NULL,NULL
london,4,1,55,400,800,40,0.02625,21,NULL,NULL,NULL,NULL
london,4,1,55,600,800,40,0.03,24,NULL,NULL,NULL,NULL
london,4,1,55,800,800,40,0.06375,51,NULL,NULL,NULL,NULL
london,4,1,55,1100,800,40,0.18625,149,NULL,NULL,NULL,NULL
london,4,1,55,1300,800,40,0.40125,321,NULL,NULL,NULL,NULL
london,4,1,55,1500,800,40,0.6625,530,NULL,NULL,NULL,NULL
london,4,1,55,2000,800,40,0.855,684,NULL,NULL,NULL,NULL
london,4,1,55,2500,800,40,0.88375,707,NULL,NULL,NULL,NULL
london,4,1,55,3000,800,40,0.9025,722,NULL,NULL,NULL,NULL
london,4,1,55,3500,800,40,0.8925,714,NULL,NULL,NULL,NULL
london,5,1,55,100,800,40,0.00625,5,NULL,NULL,NULL,NULL
london,5,1,55,200,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,5,1,55,400,800,40,0.02375,19,NULL,NULL,NULL,NULL
london,5,1,55,600,800,40,0.0325,26,NULL,NULL,NULL,NULL
london,5,1,55,800,800,40,0.04,32,NULL,NULL,NULL,NULL
london,5,1,55,1100,800,40,0.11375,91,NULL,NULL,NULL,NULL
london,5,1,55,1300,800,40,0.3125,250,NULL,NULL,NULL,NULL
london,5,1,55,1500,800,40,0.54625,437,NULL,NULL,NULL,NULL
london,5,1,55,2000,800,40,0.805,644,NULL,NULL,NULL,NULL
london,5,1,55,2500,800,40,0.87,696,NULL,NULL,NULL,NULL
london,5,1,55,3000,800,40,0.905,724,NULL,NULL,NULL,NULL
london,5,1,55,3500,800,40,0.90125,721,NULL,NULL,NULL,NULL
london,6,1,55,100,800,40,0.01,8,NULL,NULL,NULL,NULL
london,6,1,55,200,800,40,0.0125,10,NULL,NULL,NULL,NULL
london,6,1,55,400,800,40,0.02375,19,NULL,NULL,NULL,NULL
london,6,1,55,600,800,40,0.02375,19,NULL,NULL,NULL,NULL
london,6,1,55,800,800,40,0.03375,27,NULL,NULL,NULL,NULL
london,6,1,55,1100,800,40,0.09625,77,NULL,NULL,NULL,NULL
london,6,1,55,1300,800,40,0.2,160,NULL,NULL,NULL,NULL
london,6,1,55,1500,800,40,0.44375,355,NULL,NULL,NULL,NULL
london,6,1,55,2000,800,40,0.78125,625,NULL,NULL,NULL,NULL
london,6,1,55,2500,800,40,0.87625,701,NULL,NULL,NULL,NULL
london,6,1,55,3000,800,40,0.93375,747,NULL,NULL,NULL,NULL
london,6,1,55,3500,800,40,0.905,724,NULL,NULL,NULL,NULL
london,7,1,55,100,800,40,0.01375,11,NULL,NULL,NULL,NULL
london,7,1,55,200,800,40,0.00625,5,NULL,NULL,NULL,NULL
london,7,1,55,400,800,40,0.02875,23,NULL,NULL,NULL,NULL
london,7,1,55,600,800,40,0.02875,23,NULL,NULL,NULL,NULL
london,7,1,55,800,800,40,0.0475,38,NULL,NULL,NULL,NULL
london,7,1,55,1100,800,40,0.08125,65,NULL,NULL,NULL,NULL
london,7,1,55,1300,800,40,0.1425,114,NULL,NULL,NULL,NULL
london,7,1,55,1500,800,40,0.34125,273,NULL,NULL,NULL,NULL
london,7,1,55,2000,800,40,0.6975,558,NULL,NULL,NULL,NULL
london,7,1,55,2500,800,40,0.87625,701,NULL,NULL,NULL,NULL
london,7,1,55,3000,800,40,0.91125,729,NULL,NULL,NULL,NULL
london,7,1,55,3500,800,40,0.925,740,NULL,NULL,NULL,NULL
london,8,1,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,8,1,55,200,800,40,0.015,12,NULL,NULL,NULL,NULL
london,8,1,55,400,800,40,0.01875,15,NULL,NULL,NULL,NULL
london,8,1,55,600,800,40,0.03375,27,NULL,NULL,NULL,NULL
london,8,1,55,800,800,40,0.0325,26,NULL,NULL,NULL,NULL
london,8,1,55,1100,800,40,0.055,44,NULL,NULL,NULL,NULL
london,8,1,55,1300,800,40,0.0975,78,NULL,NULL,NULL,NULL
london,8,1,55,1500,800,40,0.24,192,NULL,NULL,NULL,NULL
london,8,1,55,2000,800,40,0.60875,487,NULL,NULL,NULL,NULL
london,8,1,55,2500,800,40,0.8275,662,NULL,NULL,NULL,NULL
london,8,1,55,3000,800,40,0.92,736,NULL,NULL,NULL,NULL
london,8,1,55,3500,800,40,0.94375,755,NULL,NULL,NULL,NULL
london,4,1,45,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
london,4,1,45,200,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,1,45,400,800,40,0.01625,13,NULL,NULL,NULL,NULL
london,4,1,45,600,800,40,0.0375,30,NULL,NULL,NULL,NULL
london,4,1,45,800,800,40,0.1125,90,NULL,NULL,NULL,NULL
london,4,1,45,1100,800,40,0.505,404,NULL,NULL,NULL,NULL
london,4,1,45,1300,800,40,0.71125,569,NULL,NULL,NULL,NULL
london,4,1,45,1500,800,40,0.75,600,NULL,NULL,NULL,NULL
london,4,1,45,2000,800,40,0.52,416,NULL,NULL,NULL,NULL
london,4,1,45,2500,800,40,0.34625,277,NULL,NULL,NULL,NULL
london,4,1,45,3000,800,40,0.205,164,NULL,NULL,NULL,NULL
london,4,1,45,3500,800,40,0.115,92,NULL,NULL,NULL,NULL
london,4,1,55,100,800,40,0.00625,5,NULL,NULL,NULL,NULL
london,4,1,55,200,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,4,1,55,400,800,40,0.01625,13,NULL,NULL,NULL,NULL
london,4,1,55,600,800,40,0.04125,33,NULL,NULL,NULL,NULL
london,4,1,55,800,800,40,0.06375,51,NULL,NULL,NULL,NULL
london,4,1,55,1100,800,40,0.17125,137,NULL,NULL,NULL,NULL
london,4,1,55,1300,800,40,0.40125,321,NULL,NULL,NULL,NULL
london,4,1,55,1500,800,40,0.64375,515,NULL,NULL,NULL,NULL
london,4,1,55,2000,800,40,0.8625,690,NULL,NULL,NULL,NULL
london,4,1,55,2500,800,40,0.885,708,NULL,NULL,NULL,NULL
london,4,1,55,3000,800,40,0.9175,734,NULL,NULL,NULL,NULL
london,4,1,55,3500,800,40,0.8925,714,NULL,NULL,NULL,NULL
london,4,2,55,100,800,40,0.01125,9,NULL,NULL,NULL,NULL
london,4,2,55,200,800,40,0.015,12,NULL,NULL,NULL,NULL
london,4,2,55,400,800,40,0.0225,18,NULL,NULL,NULL,NULL
london,4,2,55,600,800,40,0.04625,37,NULL,NULL,NULL,NULL
london,4,2,55,800,800,40,0.04125,33,NULL,NULL,NULL,NULL
london,4,2,55,1100,800,40,0.17875,143,NULL,NULL,NULL,NULL
london,4,2,55,1300,800,40,0.38,304,NULL,NULL,NULL,NULL
london,4,2,55,1500,800,40,0.65625,525,NULL,NULL,NULL,NULL
london,4,2,55,2000,800,40,0.8675,694,NULL,NULL,NULL,NULL
london,4,2,55,2500,800,40,0.87125,697,NULL,NULL,NULL,NULL
london,4,2,55,3000,800,40,0.89625,717,NULL,NULL,NULL,NULL
london,4,2,55,3500,800,40,0.87625,701,NULL,NULL,NULL,NULL
london,4,3,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,3,55,200,800,40,0.01,8,NULL,NULL,NULL,NULL
london,4,3,55,400,800,40,0.02,16,NULL,NULL,NULL,NULL
london,4,3,55,600,800,40,0.0475,38,NULL,NULL,NULL,NULL
london,4,3,55,800,800,40,0.05125,41,NULL,NULL,NULL,NULL
london,4,3,55,1100,800,40,0.18125,145,NULL,NULL,NULL,NULL
london,4,3,55,1300,800,40,0.39375,315,NULL,NULL,NULL,NULL
london,4,3,55,1500,800,40,0.67375,539,NULL,NULL,NULL,NULL
london,4,3,55,2000,800,40,0.86,688,NULL,NULL,NULL,NULL
london,4,3,55,2500,800,40,0.89,712,NULL,NULL,NULL,NULL
london,4,3,55,3000,800,40,0.915,732,NULL,NULL,NULL,NULL
london,4,3,55,3500,800,40,0.905,724,NULL,NULL,NULL,NULL
london,4,4,55,100,800,40,0.01125,9,NULL,NULL,NULL,NULL
london,4,4,55,200,800,40,0.015,12,NULL,NULL,NULL,NULL
london,4,4,55,400,800,40,0.0275,22,NULL,NULL,NULL,NULL
london,4,4,55,600,800,40,0.04125,33,NULL,NULL,NULL,NULL
london,4,4,55,800,800,40,0.05875,47,NULL,NULL,NULL,NULL
london,4,4,55,1100,800,40,0.1525,122,NULL,NULL,NULL,NULL
london,4,4,55,1300,800,40,0.38,304,NULL,NULL,NULL,NULL
london,4,4,55,1500,800,40,0.6775,542,NULL,NULL,NULL,NULL
london,4,4,55,2000,800,40,0.8475,678,NULL,NULL,NULL,NULL
london,4,4,55,2500,800,40,0.89375,715,NULL,NULL,NULL,NULL
london,4,4,55,3000,800,40,0.93375,747,NULL,NULL,NULL,NULL
london,4,4,55,3500,800,40,0.9075,726,NULL,NULL,NULL,NULL
london,4,5,55,100,800,40,0.01375,11,NULL,NULL,NULL,NULL
london,4,5,55,200,800,40,0.00125,1,NULL,NULL,NULL,NULL
london,4,5,55,400,800,40,0.04,32,NULL,NULL,NULL,NULL
london,4,5,55,600,800,40,0.04,32,NULL,NULL,NULL,NULL
london,4,5,55,800,800,40,0.05375,43,NULL,NULL,NULL,NULL
london,4,5,55,1100,800,40,0.1725,138,NULL,NULL,NULL,NULL
london,4,5,55,1300,800,40,0.42375,339,NULL,NULL,NULL,NULL
london,4,5,55,1500,800,40,0.69375,555,NULL,NULL,NULL,NULL
london,4,5,55,2000,800,40,0.8475,678,NULL,NULL,NULL,NULL
london,4,5,55,2500,800,40,0.9075,726,NULL,NULL,NULL,NULL
london,4,5,55,3000,800,40,0.94,752,NULL,NULL,NULL,NULL
london,4,5,55,3500,800,40,0.90125,721,NULL,NULL,NULL,NULL
london,4,6,55,100,800,40,0.01125,9,NULL,NULL,NULL,NULL
london,4,6,55,200,800,40,0.01125,9,NULL,NULL,NULL,NULL
london,4,6,55,400,800,40,0.04125,33,NULL,NULL,NULL,NULL
london,4,6,55,600,800,40,0.05375,43,NULL,NULL,NULL,NULL
london,4,6,55,800,800,40,0.05875,47,NULL,NULL,NULL,NULL
london,4,6,55,1100,800,40,0.15375,123,NULL,NULL,NULL,NULL
london,4,6,55,1300,800,40,0.41375,331,NULL,NULL,NULL,NULL
london,4,6,55,1500,800,40,0.67375,539,NULL,NULL,NULL,NULL
london,4,6,55,2000,800,40,0.86875,695,NULL,NULL,NULL,NULL
london,4,6,55,2500,800,40,0.90875,727,NULL,NULL,NULL,NULL
london,4,6,55,3000,800,40,0.91375,731,NULL,NULL,NULL,NULL
london,4,6,55,3500,800,40,0.92125,737,NULL,NULL,NULL,NULL
london,4,7,55,100,800,40,0.015,12,NULL,NULL,NULL,NULL
london,4,7,55,200,800,40,0.01,8,NULL,NULL,NULL,NULL
london,4,7,55,400,800,40,0.03625,29,NULL,NULL,NULL,NULL
london,4,7,55,600,800,40,0.035,28,NULL,NULL,NULL,NULL
london,4,7,55,800,800,40,0.0625,50,NULL,NULL,NULL,NULL
london,4,7,55,1100,800,40,0.1775,142,NULL,NULL,NULL,NULL
london,4,7,55,1300,800,40,0.4025,322,NULL,NULL,NULL,NULL
london,4,7,55,1500,800,40,0.675,540,NULL,NULL,NULL,NULL
london,4,7,55,2000,800,40,0.8375,670,NULL,NULL,NULL,NULL
london,4,7,55,2500,800,40,0.935,748,NULL,NULL,NULL,NULL
london,4,7,55,3000,800,40,0.92375,739,NULL,NULL,NULL,NULL
london,4,7,55,3500,800,40,0.9125,730,NULL,NULL,NULL,NULL
london,4,8,55,100,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,8,55,200,800,40,0.01,8,NULL,NULL,NULL,NULL
london,4,8,55,400,800,40,0.04,32,NULL,NULL,NULL,NULL
london,4,8,55,600,800,40,0.055,44,NULL,NULL,NULL,NULL
london,4,8,55,800,800,40,0.0925,74,NULL,NULL,NULL,NULL
london,4,8,55,1100,800,40,0.1675,134,NULL,NULL,NULL,NULL
london,4,8,55,1300,800,40,0.3975,318,NULL,NULL,NULL,NULL
london,4,8,55,1500,800,40,0.66125,529,NULL,NULL,NULL,NULL
london,4,8,55,2000,800,40,0.89,712,NULL,NULL,NULL,NULL
london,4,8,55,2500,800,40,0.92625,741,NULL,NULL,NULL,NULL
london,4,8,55,3000,800,40,0.95,760,NULL,NULL,NULL,NULL
london,4,8,55,3500,800,40,0.9,720,NULL,NULL,NULL,NULL
london,4,1,55,100,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,4,1,55,200,800,40,0.01625,13,NULL,NULL,NULL,NULL
london,4,1,55,400,800,40,0.02875,23,NULL,NULL,NULL,NULL
london,4,1,55,600,800,40,0.04,32,NULL,NULL,NULL,NULL
london,4,1,55,800,800,40,0.045,36,NULL,NULL,NULL,NULL
london,4,1,55,1100,800,40,0.16,128,NULL,NULL,NULL,NULL
london,4,1,55,1300,800,40,0.37875,303,NULL,NULL,NULL,NULL
london,4,1,55,1500,800,40,0.65375,523,NULL,NULL,NULL,NULL
london,4,1,55,2000,800,40,0.84625,677,NULL,NULL,NULL,NULL
london,4,1,55,2500,800,40,0.9,720,NULL,NULL,NULL,NULL
london,4,1,55,3000,800,40,0.9125,730,NULL,NULL,NULL,NULL
london,4,1,55,3500,800,40,0.9,720,NULL,NULL,NULL,NULL
london,4,1,55,100,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,1,55,200,800,40,0.01375,11,NULL,NULL,NULL,NULL
london,4,1,55,400,800,40,0.015,12,NULL,NULL,NULL,NULL
london,4,1,55,600,800,40,0.03125,25,NULL,NULL,NULL,NULL
london,4,1,55,800,800,40,0.0375,30,NULL,NULL,NULL,NULL
london,4,1,55,1100,800,40,0.1725,138,NULL,NULL,NULL,NULL
london,4,1,55,1300,800,40,0.385,308,NULL,NULL,NULL,NULL
london,4,1,55,1500,800,40,0.66875,535,NULL,NULL,NULL,NULL
london,4,1,55,2000,800,40,0.8225,658,NULL,NULL,NULL,NULL
london,4,1,55,2500,800,40,0.88625,709,NULL,NULL,NULL,NULL
london,4,1,55,3000,800,40,0.89375,715,NULL,NULL,NULL,NULL
london,4,1,55,3500,800,40,0.88625,709,NULL,NULL,NULL,NULL
london,4,2,55,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
london,4,2,55,200,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,2,55,400,800,40,0.0225,18,NULL,NULL,NULL,NULL
london,4,2,55,600,800,40,0.04125,33,NULL,NULL,NULL,NULL
london,4,2,55,800,800,40,0.0575,46,NULL,NULL,NULL,NULL
london,4,2,55,1100,800,40,0.15875,127,NULL,NULL,NULL,NULL
london,4,2,55,1300,800,40,0.3925,314,NULL,NULL,NULL,NULL
london,4,2,55,1500,800,40,0.64125,513,NULL,NULL,NULL,NULL
london,4,2,55,2000,800,40,0.85,680,NULL,NULL,NULL,NULL
london,4,2,55,2500,800,40,0.9,720,NULL,NULL,NULL,NULL
london,4,2,55,3000,800,40,0.91375,731,NULL,NULL,NULL,NULL
london,4,2,55,3500,800,40,0.89125,713,NULL,NULL,NULL,NULL
london,4,3,55,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
london,4,3,55,200,800,40,0.01375,11,NULL,NULL,NULL,NULL
london,4,3,55,400,800,40,0.01875,15,NULL,NULL,NULL,NULL
london,4,3,55,600,800,40,0.05125,41,NULL,NULL,NULL,NULL
london,4,3,55,800,800,40,0.06125,49,NULL,NULL,NULL,NULL
london,4,3,55,1100,800,40,0.1675,134,NULL,NULL,NULL,NULL
london,4,3,55,1300,800,40,0.4,320,NULL,NULL,NULL,NULL
london,4,3,55,1500,800,40,0.665,532,NULL,NULL,NULL,NULL
london,4,3,55,2000,800,40,0.85,680,NULL,NULL,NULL,NULL
london,4,3,55,2500,800,40,0.9025,722,NULL,NULL,NULL,NULL
london,4,3,55,3000,800,40,0.92625,741,NULL,NULL,NULL,NULL
london,4,3,55,3500,800,40,0.88125,705,NULL,NULL,NULL,NULL
london,4,4,55,100,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,4,4,55,200,800,40,0.0125,10,NULL,NULL,NULL,NULL
london,4,4,55,400,800,40,0.03,24,NULL,NULL,NULL,NULL
london,4,4,55,600,800,40,0.03625,29,NULL,NULL,NULL,NULL
london,4,4,55,800,800,40,0.05375,43,NULL,NULL,NULL,NULL
