cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,,
london,1,4,25,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
london,1,4,25,200,800,40,0.01375,11,NULL,NULL,NULL,NULL
london,1,4,25,400,800,40,0.05875,47,NULL,NULL,NULL,NULL
london,1,4,25,600,800,40,0.21375,171,NULL,NULL,NULL,NULL
london,1,4,25,800,800,40,0.53375,427,NULL,NULL,NULL,NULL
london,1,4,25,1100,800,40,0.715,572,NULL,NULL,NULL,NULL
london,1,4,25,1300,800,40,0.71125,569,NULL,NULL,NULL,NULL
london,1,4,25,1500,800,40,0.60125,481,NULL,NULL,NULL,NULL
london,1,4,25,2000,800,40,0.33625,269,NULL,NULL,NULL,NULL
london,1,4,25,2500,800,40,0.2225,178,NULL,NULL,NULL,NULL
london,1,4,25,3000,800,40,0.125,100,NULL,NULL,NULL,NULL
london,1,4,25,3500,800,40,0.0525,42,NULL,NULL,NULL,NULL
london,1,4,35,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,1,4,35,200,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,1,4,35,400,800,40,0.03375,27,NULL,NULL,NULL,NULL
london,1,4,35,600,800,40,0.12875,103,NULL,NULL,NULL,NULL
london,1,4,35,800,800,40,0.4,320,NULL,NULL,NULL,NULL
london,1,4,35,1100,800,40,0.6625,530,NULL,NULL,NULL,NULL
london,1,4,35,1300,800,40,0.71125,569,NULL,NULL,NULL,NULL
london,1,4,35,1500,800,40,0.615,492,NULL,NULL,NULL,NULL
london,1,4,35,2000,800,40,0.375,300,NULL,NULL,NULL,NULL
london,1,4,35,2500,800,40,0.23875,191,NULL,NULL,NULL,NULL
london,1,4,35,3000,800,40,0.14,112,NULL,NULL,NULL,NULL
london,1,4,35,3500,800,40,0.06125,49,NULL,NULL,NULL,NULL
london,1,4,45,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
london,1,4,45,200,800,40,0.015,12,NULL,NULL,NULL,NULL
london,1,4,45,400,800,40,0.025,20,NULL,NULL,NULL,NULL
london,1,4,45,600,800,40,0.0925,74,NULL,NULL,NULL,NULL
london,1,4,45,800,800,40,0.285,228,NULL,NULL,NULL,NULL
london,1,4,45,1100,800,40,0.61875,495,NULL,NULL,NULL,NULL
london,1,4,45,1300,800,40,0.705,564,NULL,NULL,NULL,NULL
london,1,4,45,1500,800,40,0.67,536,NULL,NULL,NULL,NULL
london,1,4,45,2000,800,40,0.4125,330,NULL,NULL,NULL,NULL
london,1,4,45,2500,800,40,0.24875,199,NULL,NULL,NULL,NULL
london,1,4,45,3000,800,40,0.17875,143,NULL,NULL,NULL,NULL
london,1,4,45,3500,800,40,0.05875,47,NULL,NULL,NULL,NULL
london,1,4,55,100,800,40,0.01,8,NULL,NULL,NULL,NULL
london,1,4,55,200,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,1,4,55,400,800,40,0.0225,18,NULL,NULL,NULL,NULL
london,1,4,55,600,800,40,0.0625,50,NULL,NULL,NULL,NULL
london,1,4,55,800,800,40,0.18375,147,NULL,NULL,NULL,NULL
london,1,4,55,1100,800,40,0.56625,453,NULL,NULL,NULL,NULL
