cityname i_o_length prediction_horizon grid_size time_stamp cx
madrid 4 1 25 3870 0
madrid 4 1 25 7972 0
madrid 4 1 25 6647 8292.0
madrid 4 1 25 2400 0
madrid 4 1 25 7004 0
madrid 4 1 25 4756 5789.0
madrid 4 1 25 1796 0
madrid 4 1 25 7142 0
madrid 4 1 25 8051 47941.5
madrid 4 1 25 1097 0
madrid 4 1 25 8479 17977.0
madrid 4 1 25 3864 0
madrid 4 1 25 1517 37627.0
madrid 4 1 25 6457 0
madrid 4 1 25 4723 3064.0
madrid 4 1 25 8069 0
madrid 4 1 25 4889 0
madrid 4 1 25 435 0
madrid 4 1 25 95 0
madrid 4 1 25 8335 25338.0
madrid 4 1 25 3718 25582.0
madrid 4 1 25 8218 15471.0
madrid 4 1 25 7937 0
madrid 4 1 25 7827 0
madrid 4 1 25 6800 0
madrid 4 1 25 3815 33081.0
madrid 4 1 25 5693 10118.0
madrid 4 1 25 629 24818.0
madrid 4 1 25 6696 0
madrid 4 1 25 5843 0
madrid 4 1 25 1455 0
madrid 4 1 25 1912 25925.5
madrid 4 1 25 7652 0
madrid 4 1 25 165 0
madrid 4 1 25 5969 0
madrid 4 1 25 7611 0
madrid 4 1 25 742 21666.0
madrid 4 1 25 6993 0
madrid 4 1 25 3457 22652.75
madrid 4 1 25 364 27905.0
madrid 4 1 25 8581 10248.0
madrid 4 1 25 5632 0
madrid 4 1 25 8489 0
madrid 4 1 25 2006 70616.0
madrid 4 1 25 5311 0
madrid 4 1 25 4905 0
madrid 4 1 25 296 0
madrid 4 1 25 7088 0
madrid 4 1 25 5008 38454.0
madrid 4 1 25 2847 0
madrid 4 1 25 2315 40279.0
madrid 4 1 25 3548 26458.0
madrid 4 1 25 4993 0
madrid 4 1 25 1007 9822.0
madrid 4 1 25 7247 0
madrid 4 1 25 4087 0
madrid 4 1 25 7091 0
madrid 4 1 25 674 0
madrid 4 1 25 6237 0
madrid 4 1 25 4407 48813.0
madrid 4 1 25 833 0
madrid 4 1 25 1651 22286.75
madrid 4 1 25 4353 40686.75
madrid 4 1 25 1966 0
madrid 4 1 25 3584 0
madrid 4 1 25 5256 0
madrid 4 1 25 4714 0
madrid 4 1 25 6511 0
madrid 4 1 25 7444 12231.0
madrid 4 1 25 1869 0
madrid 4 1 25 3297 0
madrid 4 1 25 2715 74732.0
madrid 4 1 25 5877 0
madrid 4 1 25 2767 12042.25
madrid 4 1 25 7598 0
madrid 4 1 25 6229 0
madrid 4 1 25 8857 0
madrid 4 1 25 634 3616.0
madrid 4 1 25 8635 0
madrid 4 1 25 4830 9598.5
madrid 4 1 25 6540 0
madrid 4 1 25 4042 0
madrid 4 1 25 8907 0
madrid 4 1 25 4034 0
madrid 4 1 25 3370 14963.5
madrid 4 1 25 6632 0
madrid 4 1 25 6531 3695.0
madrid 4 1 25 5203 0
madrid 4 1 25 8203 0
madrid 4 1 25 5074 0
madrid 4 1 25 8962 11081.37037037037
madrid 4 1 25 4429 0
madrid 4 1 25 5738 0
madrid 4 1 25 2709 0
madrid 4 1 25 9020 11244.0
madrid 4 1 25 1575 0
madrid 4 1 25 6160 72935.25
madrid 4 1 25 3802 35996.25
madrid 4 1 25 6899 11066.0
madrid 4 1 25 3689 0
madrid 4 1 25 8342 0
madrid 4 1 25 7721 0
madrid 4 1 25 8215 0
madrid 4 1 25 6073 51304.75
madrid 4 1 25 7552 0
